status_key,status_value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,YES
FULL_AX_RERUN,NO
FIGURES_CREATED,NO
FIGURES_MODIFIED,NO
SWITCHING_USED,YES
RELAXATION_USED,YES
AGING_USED,NO
TAU_KWW_USED,NO
POWERLAW_RUN,YES_EMPIRICAL_FORMS_ONLY
USED_AX_17B_DATASET,YES
USED_XEFF_WIDTH_AUDIT_18,YES
AX_DOMAIN_N,15
T_LINEAR_BASELINE_TESTED,YES
T_QUADRATIC_BASELINE_TESTED,YES
T_LOG_BASELINE_TESTED,YES
T_INVERSE_BASELINE_TESTED,YES
T_HINGE_23K_TESTED,YES
T_HINGE_25K_TESTED,YES
SCALING_T_POWER_TESTED,YES
SCALING_XEFF_POWER_TESTED,YES
SCALING_INVD_POWER_TESTED,YES
SCALING_FIXED_TC_TESTED,YES
SCALING_SHIFTED_T_TESTED,YES
HIGH_COMPLEXITY_T_BASELINES_BLOCKED,YES
FREE_TC_SEARCH_BLOCKED,YES
XEFF_MODEL_TESTED,YES
INVD_MODEL_TESTED,YES
BEST_T_PLUS_XEFF_TESTED,YES
BEST_T_PLUS_INVD_TESTED,YES
RESIDUAL_AFTER_BEST_T_TESTED,YES
AOBS_BEST_SIMPLE_T_BASELINE,T_linear
ASVD_BEST_SIMPLE_T_BASELINE,T_linear
XEFF_IMPROVES_OVER_BEST_T_FOR_AOBS,YES
INVD_IMPROVES_OVER_BEST_T_FOR_AOBS,YES
XEFF_IMPROVES_OVER_BEST_T_FOR_ASVD,YES
INVD_IMPROVES_OVER_BEST_T_FOR_ASVD,YES
INVD_ADDS_BEYOND_BEST_T_FOR_AOBS,YES
INVD_ADDS_BEYOND_BEST_T_FOR_ASVD,YES
BEST_T_ADDS_BEYOND_INVD_FOR_AOBS,YES
BEST_T_ADDS_BEYOND_INVD_FOR_ASVD,YES
AOBS_EXPLAINED_BY_SIMPLE_T_FUNCTION,PARTIAL_QUADRATIC_OR_HINGE_COMPETITIVE
ASVD_EXPLAINED_BY_SIMPLE_T_FUNCTION,PARTIAL_QUADRATIC_OR_HINGE_COMPETITIVE
AOBS_NOT_DISTINGUISHABLE_FROM_T_REPARAMETERIZATION,REVIEW_COMBINED_AND_RESIDUALS
ASVD_NOT_DISTINGUISHABLE_FROM_T_REPARAMETERIZATION,REVIEW_COMBINED_AND_RESIDUALS
EMPIRICAL_SCALING_SUPPORTED,FORMS_EXIST_THAT_BEAT_BEST_T_MEMBER_CHECK_CSV
PHYSICAL_SCALING_LAW_SUPPORTED,NO
SAFE_TO_SAY_SWITCHING_COORDINATES_ORGANIZE_A_BEYOND_T,PARTIAL_USE_COMBINED_TABLE
SAFE_TO_SAY_A_MAY_BE_SIMPLE_T_REPARAMETERIZATION,YES_FOR_LINEAR_T_ONLY
SAFE_TO_SAY_EMPIRICAL_SCALING_ONLY,YES
SAFE_TO_SAY_PHYSICAL_SCALING_LAW,NO
SAFE_FOR_MANUSCRIPT_DISCUSSION,YES_WITH_SMALL_N_CAVEATS
SAFE_TO_COMMIT_T_FUNCTION_SCALING_PACKAGE,YES
