status_key,status_value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
FILES_MODIFIED,NO
CANONICAL_INDEX_EXISTS,YES
DRAFT_INDEX_EXISTS,YES
DRAFT_INDEX_GIT_STATUS,TRACKED_MODIFIED
CANONICAL_INDEX_CURRENT,YES
DRAFT_CONTAINS_UNIQUE_CONTENT,YES
DRAFT_CONTRADICTS_CANONICAL,NO
DRAFT_HAS_FORBIDDEN_WORDING,NO
DRAFT_DRIFT_RISK,LOW_MEDIUM
SAFE_TO_LEAVE_DRAFT_AS_IS,YES
RECOMMENDED_NEXT_ACTION,LEAVE_STUB_REVIEW_GIT_DIFF_ON_DRAFT_IF_M_IS_UNINTENDED
SAFE_TO_STAGE_AUDIT_OUTPUTS,YES
SAFE_TO_COMMIT_AUDIT_OUTPUTS,YES
