status_key,status_value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
FILES_MODIFIED,NO
TARGET_DIFF_INSPECTED,YES
TARGET_FILE_STAGED,NO
TARGET_FILE_MODIFIED_ON_DISK,YES
MODIFICATION_CLASSIFICATION,INTENTIONAL_SAFE
DIFF_INTENTIONAL_SAFE,YES
DIFF_ACCIDENTAL_DRIFT,NO
DIFF_HARMFUL_OR_CONFUSING,NO
DIFF_CONTRADICTS_CANONICAL,NO
DIFF_HAS_FORBIDDEN_WORDING,NO
DIFF_CHANGES_SCIENTIFIC_CLAIMS,NO
SAFE_TO_KEEP_DRAFT_CHANGE,YES
SAFE_TO_DISCARD_DRAFT_CHANGE,NO
RECOMMENDED_NEXT_ACTION,COMMIT_DRAFT_NAVIGATION_LINE_IN_SEPARATE_DOCS_COMMIT_OR_KEEP_UNCOMMITTED
SAFE_TO_STAGE_AUDIT_OUTPUTS,YES
SAFE_TO_COMMIT_AUDIT_OUTPUTS,YES
