category,artifact_or_check,method,result,notes
controlled_run_1,RUN_ID,,run_2026_04_04_143211_switching_canonical,tools/run_matlab_safe.bat absolute path to Switching/analysis/run_switching_canonical.m
controlled_run_2,RUN_ID,,run_2026_04_04_143749_switching_canonical,same wrapper and entrypoint; no parameter changes between runs
compare,execution_status.csv,fc /b,IDENTICAL,EXECUTION_STATUS INPUT_FOUND ERROR_MESSAGE N_T MAIN_RESULT_SUMMARY match
compare,tables/switching_canonical_observables.csv,fc /b,IDENTICAL,
compare,tables/switching_canonical_phi1.csv,fc /b,IDENTICAL,
compare,tables/switching_canonical_S_long.csv,fc /b,IDENTICAL,
compare,tables/switching_canonical_validation.csv,fc /b,IDENTICAL,
compare,tables/run_switching_canonical_implementation_status.csv,fc /b,DIFFERS,RUN_ID and RUN_DIR columns only (143211 vs 143749); numeric and YES/NO verdict columns identical
compare,execution_probe.csv,fc /b,IDENTICAL,
compare,execution_probe_status.csv,fc /b,DIFFERS,embedded run_dir path contains RUN_ID
compare,reports/run_switching_canonical_report.md,fc /b,DIFFERS,RUN_DIR line only; metrics and prose body identical when run_dir line ignored
compare,reports/run_switching_canonical_implementation.md,fc /b,DIFFERS,run-scoped paths/timestamps
compare,run_manifest.json,text diff,DIFFERS,"run_id timestamp execution_start run_dir required_outputs paths differ; fingerprint fields match (see identity row)"
identity,manifest.script_path,both runs,C:\Dev\matlab-functions\Switching\analysis\run_switching_canonical.m,identical
identity,manifest.script_hash,both runs,9576c05308774196d16ce8f845957c682b7492ee5daee7a84af57b0f125debae,identical
identity,manifest.git_commit,both runs,2ce88dee54d25e78a03c2fd03b3842767306e745,identical
identity,manifest.label,both runs,switching_canonical,identical
identity,manifest.experiment,both runs,Switching,identical
identity,manifest.dataset,both runs,raw_switching_dat_only,identical
drift,timestamp_only,manual review,YES,"manifest log runtime_execution_markers run_notes config_snapshot differ in time or run_id strings"
drift,numerical_or_logic_content,tables+status,NO,"RMSE metrics medians etc. match between runs in implementation_status data columns"
