IO_KIND,LOCATION_OR_PATTERN,CLASSIFICATION,NOTES
Read_repo_git_HEAD,Aging/utils/createRunContext.m_resolveGitCommit,Once_per_createRunContext,system_git_-C_rev-parse
Read_entry_script_SHA256,Aging/utils/createRunContext.m_computeFileSha256,Once_per_fingerprint,Hashes_cfg.fingerprint_script_path_target
Read_Switching_main.m_for_path,fileread_in_run_switching_canonical.m,Once_per_run,Parses_parent_raw_dir_string_only
Read_many_dat_via_legacy,processFilesSwitching_and_getFileListSwitching,Heavy_per_folder,Dominated_by_S1_stage
Write_execution_status_overwrite,run_switching_canonical.m_same_file_3x,Repeated_write_same_path,Intentional_progressive_status
Write_manifest_conditional_skip,Aging/utils/createRunContext.m_writeManifest,Write_once_or_skip,Existing_manifest_preserved
Append_runtime_markers,tools/write_execution_marker.m,Append_per_marker,Early_ENTRY_to_fallback_tables_until_run_dir_exists
Directory_listing,dir(parentDir)_run_switching_canonical.m,Once_per_run,Scans_Temp_Dep_subfolders
Config_snapshot_write,Aging/utils/createRunContext.m_writeConfigSnapshot,Once,May_use_matlab.io_or_JSON_fallback
Cross_run_fallback_marker_pollution,tables/runtime_execution_markers_fallback.txt,Accumulates_across_runs,Observability_noise_not_run_scoped
