"analysis_block","name","pearson","spearman","n","loocv_rmse","loocv_pearson","global_metric_value"
"correlation_vs_kappa2","I_peak_mA","-0.898977116460627","-0.821998429608966","14","NaN","NaN","NaN"
"correlation_vs_kappa2","median_I_use","-0.862519638967561","-0.779045301358731","11","NaN","NaN","NaN"
"correlation_vs_kappa2","gap_q90_q50","-0.733320641604492","-0.563636363636364","11","NaN","NaN","NaN"
"correlation_vs_kappa2","gap_q75_q25","-0.820686869704636","-0.836363636363636","11","NaN","NaN","NaN"
"correlation_vs_kappa2","gap_q90_q75_proxy","-0.724119566478246","-0.336363636363636","11","NaN","NaN","NaN"
"correlation_vs_kappa2","skewness","0.0604535582180411","0.0839160839160839","12","NaN","NaN","NaN"
"correlation_vs_kappa2","skewness_quantile","0.792757668662073","0.642370687085269","11","NaN","NaN","NaN"
"correlation_vs_kappa2","asym_q_barrier","0.787137913262814","0.581818181818182","11","NaN","NaN","NaN"
"correlation_vs_kappa2","mean_threshold_mA","-0.767616301136798","-0.573426573426573","12","NaN","NaN","NaN"
"correlation_vs_kappa2","std_threshold_mA","-0.706143472689384","-0.482517482517482","12","NaN","NaN","NaN"
"correlation_vs_kappa2","kappa1","-0.742124142053164","-0.837362637362637","14","NaN","NaN","NaN"
"correlation_vs_kappa2","residual_rmse","-0.621532124279946","-0.686813186813187","13","NaN","NaN","NaN"
"correlation_vs_kappa2","residual_variance","-0.495542863284347","-0.681318681318681","13","NaN","NaN","NaN"
"correlation_vs_kappa2","residual_l2","-0.621532124279946","-0.686813186813187","13","NaN","NaN","NaN"
"correlation_vs_kappa2","kappa2_norm_S","0.981970192054354","0.956043956043956","14","NaN","NaN","NaN"
"correlation_vs_kappa2","kappa2_norm_k1","0.971495116698194","0.96043956043956","14","NaN","NaN","NaN"
"normalization_vs_I_peak","corr(kappa2, I_peak)","-0.898977116460627","-0.821998429608966","14","NaN","NaN","NaN"
"normalization_vs_I_peak","corr(kappa2/S_peak, I_peak)","-0.912602897998436","-0.821998429608966","14","NaN","NaN","NaN"
"normalization_vs_I_peak","corr(kappa2/kappa1, I_peak)","-0.850143486374154","-0.821998429608966","14","NaN","NaN","NaN"
"loocv_model","kappa2 ~ I_peak","NaN","NaN","14","0.113456194057352","0.835765856863153","NaN"
"loocv_model","kappa2 ~ I_peak + std + (q90-q50)","NaN","NaN","11","0.112058649409926","0.712562466266902","NaN"
"loocv_model","kappa2 ~ kappa1 + std + (q90-q50)","NaN","NaN","11","0.281223431183294","0.269385683869162","NaN"
"global_stack_spectrum_T_le_30","energy_outside_rank1_1_minus_E1","NaN","NaN","NaN","NaN","NaN","0.042358383359126"
"global_stack_spectrum_T_le_30","energy_mode2_only_E12_minus_E1","NaN","NaN","NaN","NaN","NaN","0.025487340877407"
