key,value
TASK_COMPLETED,YES
TRIAGE_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
FILES_MODIFIED,"reports/maintenance/maintenance_findings_triage_01.md;tables/maintenance_findings_triage_01_inventory.csv;tables/maintenance_findings_triage_01_deduped_families.csv;tables/maintenance_findings_triage_01_action_plan.csv;tables/maintenance_findings_triage_01_status.csv"
STAGED,NO
COMMITTED,NO
PUSHED,NO
ISSUE_28_INCLUDED,YES
ISSUE_29_INCLUDED,YES
ISSUE_30_INCLUDED,YES
RUN_OUTPUT_AUDIT_INCLUDED,YES
CANONICALIZATION_PROGRESS_GUARD_INCLUDED,YES
FINDINGS_DEDUPED,YES
ACTION_NOW_CREATED,YES
BLOCKED_BY_ACCESS_CREATED,YES
SWITCHING_ACTION_NOW_FOUND,YES
AGING_WIP_DEFERRED,YES
BROAD_REFACTOR_AVOIDED,YES
SAFE_TO_STAGE_TRIAGE_OUTPUTS,YES
SAFE_TO_COMMIT_TRIAGE_OUTPUTS,YES
