key,value
INFRA04D_TASK_COMPLETED,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
POWERSHELL_RUN,NO
OLD_ANALYSIS_CODE_EDITED,NO
OLD_GENERATORS_EDITED,NO
OLD_RUNS_REGENERATED,NO
STALE_DEPENDENCIES_PATCHED,NO
REPO_WIDE_REPAIR_ATTEMPTED,NO
LEGACY_PS1_EDITED,NO
MATLAB_REPLACEMENT_EDITED,NO
LEGACY_PNGS_EDITED,NO
POLICY_ARTIFACTS_EDITED,NO
INFRA04C_CLEAN_RECOGNIZED,YES
CV07_OUTPUT_REFERENCES_FOUND,YES
CV07_ACTIVE_CANONICAL_USE_FOUND,NO
CANONICAL_REPLACEMENT_CANDIDATES_FOUND,YES
SEMANTIC_PRESERVING_RETARGET_POSSIBLE,NO
RETARGET_TO_CANONICAL_RECOMMENDED,NO
SUPERSESSION_RECOMMENDED,YES
FORMAL_RETIREMENT_RECOMMENDED,YES
KEEP_BLOCKED_RECOMMENDED,YES
OLD_CHAIN_REPAIR_FORBIDDEN_CONFIRMED,YES
CANONICAL_ONLY_SCOPE_CONFIRMED,YES
NO_STAGE_COMMIT_PUSH,YES
ASCII_ARTIFACTS_ONLY,YES
