key,value
INFRA04C_TASK_COMPLETED,PARTIAL
GIT_STAGED_AT_START,NO
MATLAB_ONLY_FOR_ANALYSIS,NO
NODE_RUN,NO
PYTHON_ANALYSIS_RUN,NO
POWERSHELL_USED_ONLY_AS_WRAPPER,YES
LEGACY_PS1_EDITED,NO
LEGACY_PNGS_EDITED,NO
POLICY_ARTIFACTS_EDITED,NO
INPUT_ALPHA_STRUCTURE_MATERIALIZED,NO
INPUT_PHI2_STRUCTURE_METRICS_MATERIALIZED,PARTIAL_INVALID
INPUT_KAPPA1_FROM_PT_MATERIALIZED,NO
ALL_REQUIRED_INPUTS_PRESENT,NO
MATLAB_REPLACEMENT_RUN,YES
MATLAB_REPLACEMENT_EXIT_CODE,1
REPLACEMENT_FIG_OUTPUTS_CREATED,NO
FIG_AND_PNG_PAIRS_CREATED,NO
LEGACY_OUTPUTS_PRESERVED,YES
VISUAL_PARITY_CHECK_COMPLETED,NO
CV07_TECHNICALLY_CLOSED,NO
FORMAL_RETIREMENT_RECOMMENDED,NO
NO_STAGE_COMMIT_PUSH,YES
ASCII_ARTIFACTS_ONLY,YES
