flag,value
REPO_FIG_INFRA_04B_TASK_COMPLETED,YES
TARGET_ORIGINAL_SCRIPT_FOUND,YES
TARGET_REPLACEMENT_SCRIPT_FOUND,YES
MISSING_INPUTS_CONFIRMED,YES
INPUT_LINEAGE_SEARCH_COMPLETED,YES
ALPHA_STRUCTURE_TRACEABLE,YES
PHI2_STRUCTURE_METRICS_TRACEABLE,YES
KAPPA1_FROM_PT_TRACEABLE,YES
AGENT24H_CORRELATIONS_TRACEABLE,YES
ALL_REQUIRED_INPUTS_TRACEABLE,YES
SAFE_TO_RUN_REPLACEMENT_NEXT,NO
FORMAL_RETIREMENT_RECOMMENDED,NO
NO_SCIENTIFIC_RERUN,YES
NO_FIGURES_GENERATED,YES
NO_EXISTING_FIGURES_MODIFIED,YES
NO_ORIGINAL_PS1_EDITED,YES
NO_STAGE_COMMIT_PUSH,YES
ASCII_ARTIFACTS_ONLY,YES
