path,git_status_at_review,classification,rationale
reports/maintenance/repo_language_figure_policy_INFRA_01B.md,untracked,COMMIT_GOVERNANCE,INFRA-01B policy doc required scope
reports/maintenance/repo_nonmatlab_inventory_conversion_plan_INFRA_02.md,untracked,COMMIT_GOVERNANCE,INFRA-02 plan required scope
reports/maintenance/repo_nonmatlab_P0_figure_decision_INFRA_03.md,untracked,COMMIT_GOVERNANCE,P0 figure decision supports INFRA-03B chain
reports/maintenance/repo_nonmatlab_P0_figure_mandatory_remediation_INFRA_03B.md,untracked,COMMIT_GOVERNANCE,INFRA-03B mandatory remediation required scope
tables/maintenance_repo_nonmatlab_P0_figure_mandatory_remediation_INFRA_03B.csv,untracked,COMMIT_GOVERNANCE,INFRA-03B table required scope
tables/maintenance_repo_nonmatlab_P0_figure_mandatory_conversion_queue_INFRA_03B.csv,untracked,COMMIT_GOVERNANCE,INFRA-03B queue required scope
tables/maintenance_repo_nonmatlab_P0_figure_mandatory_remediation_INFRA_03B_status.csv,untracked,COMMIT_GOVERNANCE,INFRA-03B status required scope
tables/maintenance_repo_nonmatlab_P0_figure_quarantine_INFRA_03.csv,untracked,COMMIT_GOVERNANCE,INFRA-03 quarantine register linked to P0
tables/maintenance_repo_nonmatlab_inventory_INFRA_02.csv,untracked,COMMIT_GOVERNANCE,INFRA-02 inventory support
tables/maintenance_repo_nonmatlab_inventory_INFRA_02_status.csv,untracked,COMMIT_GOVERNANCE,INFRA-02 status support
tables/maintenance_repo_matlab_conversion_plan_INFRA_02.csv,untracked,COMMIT_GOVERNANCE,INFRA-02 conversion plan CV06 CV07 rows
reports/maintenance/repo_agent24h_renderer_resolution_INFRA_04.md,untracked,COMMIT_GOVERNANCE,INFRA-04 renderer resolution
tables/maintenance_repo_agent24h_renderer_resolution_INFRA_04_*.csv,untracked,COMMIT_GOVERNANCE,INFRA-04 audit tables
reports/maintenance/repo_agent24h_renderer_input_lineage_INFRA_04B.md,untracked,COMMIT_GOVERNANCE,INFRA-04B input lineage
tables/maintenance_repo_agent24h_renderer_input_lineage_INFRA_04B_*.csv,untracked,COMMIT_GOVERNANCE,INFRA-04B tables
reports/maintenance/repo_agent24h_matlab_replacement_INFRA_04C.md,untracked,COMMIT_GOVERNANCE,INFRA-04C execution record
tables/maintenance_repo_agent24h_matlab_replacement_INFRA_04C_*.csv,untracked,COMMIT_GOVERNANCE,INFRA-04C tables
reports/maintenance/repo_agent24h_infra04c_side_effect_cleanup.md,untracked,COMMIT_CLEANUP_EVIDENCE,INFRA-04C-CLEAN audit
tables/maintenance_repo_agent24h_infra04c_side_effect_*.csv,untracked,COMMIT_CLEANUP_EVIDENCE,INFRA-04C-CLEAN tables
reports/maintenance/repo_agent24h_cv07_canonical_only_decision_INFRA_04D.md,untracked,COMMIT_GOVERNANCE,INFRA-04D canonical-only decision
tables/maintenance_repo_agent24h_cv07_canonical_only_decision_INFRA_04D_*.csv,untracked,COMMIT_GOVERNANCE,INFRA-04D tables
reports/maintenance/switching_canonical_paper_figures_fig_export_INFRA_01.md,untracked,COMMIT_GOVERNANCE,SW-FIG-INFRA-01 export audit
tables/maintenance_switching_canonical_paper_figures_fig_export_INFRA_01_*.csv,untracked,COMMIT_GOVERNANCE,SW-FIG-INFRA-01 tables
tables/maintenance_repo_language_figure_policy_INFRA_01B_*.csv,untracked,COMMIT_GOVERNANCE,INFRA-01B supporting tables if present
tools/agent24h_render_figures_matlab_replacement.m,untracked,COMMIT_GOVERNANCE,CV07 MATLAB replacement candidate per INFRA-04
scripts/run_switching_canonical_paper_figures.ps1,modified,COMMIT_CV06_CODE,CV06 PS1 fig export fix
reports/switching_canonical_paper_figures.md,modified,COMMIT_CV06_OUTPUT_OPTIONAL,Run record for canonical paper pass
tables/switching_canonical_paper_figures_manifest.csv,modified,COMMIT_CV06_OUTPUT_OPTIONAL,Manifest aligned to outputs
results/switching/figures/canonical_paper/switching_main_candidate_map_cuts_collapse.pdf,modified,COMMIT_CV06_OUTPUT_OPTIONAL,Regenerated tracked output
results/switching/figures/canonical_paper/switching_main_candidate_map_cuts_collapse.png,modified,COMMIT_CV06_OUTPUT_OPTIONAL,Regenerated tracked output
results/switching/figures/canonical_paper/switching_supp_Xeff_components.pdf,modified,COMMIT_CV06_OUTPUT_OPTIONAL,Regenerated tracked output
results/switching/figures/canonical_paper/switching_supp_Xeff_components.png,modified,COMMIT_CV06_OUTPUT_OPTIONAL,Regenerated tracked output
results/switching/figures/canonical_paper/switching_main_candidate_map_cuts_collapse.fig,ignored_untracked,DEFER_NEEDS_POLICY_DECISION,Present on disk results/** ignored optional git add -f
results/switching/figures/canonical_paper/switching_supp_Xeff_components.fig,ignored_untracked,DEFER_NEEDS_POLICY_DECISION,Same as above
matlab_error.log,ignored,EXCLUDE_LOCAL_DIAGNOSTIC,INFRA-04C phi2 diagnostic not for commit
figures/latent_vs_observable_proxy_comparison.png,ignored,EXCLUDE_LEGACY_OUTPUT,Legacy CV07 raster do not bundle here
figures/phi1_phi2_in_experimental_language.png,ignored,EXCLUDE_LEGACY_OUTPUT,Legacy CV07 raster
figures/observable_replacement_summary.png,ignored,EXCLUDE_LEGACY_OUTPUT,Legacy CV07 raster
tables/phi2_structure_metrics.csv,absent,EXCLUDE_REMOVED_PLACEHOLDER,Removed by INFRA-04C-CLEAN do not restore
reports/maintenance/governor_summary_latest.md,modified,EXCLUDE_UNRELATED_BACKLOG,Not part of figure-governance bundle
tables/maintenance_findings_latest.csv,modified,EXCLUDE_UNRELATED_BACKLOG,Not part of figure-governance bundle
reports/aging/aging_F7X7_user_observable_guide_draft.md,modified,EXCLUDE_UNRELATED_BACKLOG,Aging draft unrelated
Relaxation ver3/**,untracked,EXCLUDE_UNRELATED_BACKLOG,Explicit exclusion
Switching/analysis/run_switching_canonical_state_audit.m,untracked,EXCLUDE_UNRELATED_BACKLOG,Switching backlog
figures/switching/phase4B_C01_X_like_panel_orientation_lock.png,deleted,MANUAL_REVIEW_REQUIRED,Unexpected deletion review before any commit
