key,value
BUNDLE_REVIEW_TASK_COMPLETED,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
POWERSHELL_RUN,NO
CODE_EDITED,NO
OLD_ANALYSIS_CODE_EDITED,NO
OLD_RUNS_REGENERATED,NO
REPO_WIDE_CLEANUP_ATTEMPTED,NO
GIT_STAGED_AT_START,NO
FILES_STAGED,NO
FILES_COMMITTED,NO
FILES_PUSHED,NO
INFRA03B_INCLUDED_IN_PLAN,YES
SW_FIG_INFRA01_INCLUDED_IN_PLAN,YES
INFRA04B_INCLUDED_IN_PLAN,YES
INFRA04C_INCLUDED_IN_PLAN,YES
INFRA04C_CLEAN_INCLUDED_IN_PLAN,YES
INFRA04D_INCLUDED_IN_PLAN,YES
MATLAB_ERROR_LOG_EXCLUDED,YES
LEGACY_CV07_PNGS_EXCLUDED,YES
PLACEHOLDER_PHI2_FILES_EXCLUDED_OR_ABSENT,YES
UNRELATED_RELAXATION_EXCLUDED,YES
UNRELATED_AGING_EXCLUDED,YES
UNRELATED_SWITCHING_BACKLOG_EXCLUDED,YES
COMMIT_SPLIT_RECOMMENDED,Option_B
EXACT_STAGING_PLAN_WRITTEN,YES
NO_STAGE_COMMIT_PUSH,YES
ASCII_ARTIFACTS_ONLY,YES
