key,value
PRESTAGE_TASK_COMPLETED,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
POWERSHELL_RUN,NO
CODE_EDITED,NO
FIGURES_EDITED,NO
OLD_ANALYSIS_CODE_EDITED,NO
OLD_RUNS_REGENERATED,NO
REPO_WIDE_CLEANUP_ATTEMPTED,NO
GIT_STAGED_AT_START,NO
FILES_STAGED,NO
FILES_COMMITTED,NO
FILES_PUSHED,NO
PHASE4B_DELETIONS_FOUND,YES
PHASE4B_DELETIONS_EXCLUDED,YES
PHASE4B_RESTORE_DECISION_REQUIRED,YES
MATLAB_ERROR_LOG_EXCLUDED,YES
LEGACY_CV07_PNGS_EXCLUDED,YES
PLACEHOLDER_PHI2_FILES_EXCLUDED_OR_ABSENT,YES
UNRELATED_BACKLOG_EXCLUDED,YES
FIG_FORCE_ADD_DEFERRED,YES
COMMIT1_EXACT_COMMANDS_WRITTEN,YES
COMMIT2_EXACT_COMMANDS_WRITTEN,YES
NO_STAGE_COMMIT_PUSH,YES
ASCII_ARTIFACTS_ONLY,YES
