key,value
TASK_COMPLETED,YES
GOVERNANCE_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
FILES_MODIFIED,"reports/maintenance/switching_identity_resolver_F01B_decision.md;tables/maintenance_switching_identity_resolver_F01B_policy.csv;tables/maintenance_switching_identity_resolver_F01B_required_changes.csv;tables/maintenance_switching_identity_resolver_F01B_stage_plan.csv;tables/maintenance_switching_identity_resolver_F01B_status.csv"
STAGED,NO
COMMITTED,NO
PUSHED,NO
F01A_BASELINE_FOUND,YES
POLICY_DECISION_MADE,YES
PORTABLE_IDENTITY_SOURCE_DECIDED,YES
REGISTRY_AUTHORITY_DECIDED,YES
IDENTITY_CSV_ROLE_DECIDED,YES
LATEST_MTIME_FALLBACK_POLICY_DECIDED,YES
CLEAN_CLONE_BEHAVIOR_DECIDED,YES
DOC_STATUS_ALIGNMENT_REQUIRED,YES
CODE_CHANGE_REQUIRED_LATER,YES
GITIGNORE_CHANGE_REQUIRED_LATER,YES
FORCE_ADD_REQUIRED_LATER,YES_IF_MIRROR_STILL_IGNORED_BEFORE_EXCEPTION
RESOLVER_FAIL_CLOSED_REQUIRED_LATER,YES
SAFE_TO_STAGE_DECISION_OUTPUTS,YES
SAFE_TO_COMMIT_DECISION_OUTPUTS,YES
