check_id,check_type,target,expected_result,required_before_patch,required_after_patch,notes
identity_table_present,identity_contract,tables/switching_canonical_identity.csv,File exists and is readable,YES,YES,Hard precondition for identity-anchored path.
identity_columns_valid,identity_contract,tables/switching_canonical_identity.csv,Columns include field and value,YES,YES,Parser should reject malformed schema and trigger fallback.
canonical_run_id_row_present,identity_contract,tables/switching_canonical_identity.csv,CANONICAL_RUN_ID row exists with non-empty value,YES,YES,Missing or empty value should trigger warninged fallback.
canonical_run_status_locked,identity_contract,tables/switching_canonical_identity.csv,STATUS row is LOCKED when present,NO,YES,Optional governance check; if not locked still allow warninged fallback policy.
canonical_run_dir_present,anchor_file,results/switching/runs/run_2026_04_03_000147_switching_canonical/,Canonical run directory exists,YES,YES,Anchor path must resolve before returning identity-anchored table.
S_long_anchor_file_present,anchor_file,results/switching/runs/<CANONICAL_RUN_ID>/tables/switching_canonical_S_long.csv,Anchor S_long table exists,YES,YES,Primary consumer input for most call sites.
phi1_anchor_file_present,anchor_file,results/switching/runs/<CANONICAL_RUN_ID>/tables/switching_canonical_phi1.csv,Anchor phi1 table exists,YES,YES,Second primary consumer input.
resolver_returns_anchor_for_S_long,resolver_behavior,Switching/utils/switchingResolveLatestCanonicalTable.m with fileName=switching_canonical_S_long.csv,Returns anchor-run table path when identity contract is valid,NO,YES,Signature unchanged; behavior shifts to deterministic identity-first.
resolver_returns_anchor_for_phi1,resolver_behavior,Switching/utils/switchingResolveLatestCanonicalTable.m with fileName=switching_canonical_phi1.csv,Returns anchor-run table path when identity contract is valid,NO,YES,Should not depend on newest mtime when anchor artifact exists.
fallback_still_available_when_identity_missing_simulated,fallback_behavior,Switching/utils/switchingResolveLatestCanonicalTable.m with identity path unavailable,Returns newest-by-mtime candidate with warning,NO,YES,Backward compatibility guardrail.
fallback_when_anchor_file_missing,fallback_behavior,Switching/utils/switchingResolveLatestCanonicalTable.m with missing anchor fileName,Falls back to newest-by-mtime candidate with warning,NO,YES,Needed for partial anchor artifact availability.
empty_return_preserved_when_no_candidates,fallback_behavior,Switching/utils/switchingResolveLatestCanonicalTable.m with no run candidates,Returns empty string exactly as today,NO,YES,Preserve existing no-result contract.
consumer_smoke_mode_admissibility,consumer_smoke,Switching/analysis/run_switching_mode_admissibility_audit.m,Loads canonical S_long/phi1 from anchor path and passes initial input checks,NO,YES,High-risk consumer; do not execute in design review task.
consumer_smoke_backbone_stress,consumer_smoke,Switching/analysis/run_switching_backbone_stress_test.m,Loads canonical S_long/phi1 from anchor path and reaches schema checks,NO,YES,Medium-risk consumer; do not execute in design review task.
consumer_smoke_observable_mapping,consumer_smoke,Switching/analysis/run_switching_observable_mapping_audit.m,Loads canonical S_long/phi1 from anchor path and reaches gate validations,NO,YES,Medium-risk consumer; do not execute in design review task.
