KEY,VALUE
MASTER_PLAN_PATCH_COMPLETE,YES
PHASE_4_LANGUAGE_PATCHED,YES
PHASE_4_5_FORMALIZED,YES
CROSS_MODULE_POLICY_FORMALIZED,YES
MODULE_MODEL_FORMALIZED,YES
PHASE_GATES_PATCHED,YES
TRUST_TERMINOLOGY_PATCHED,YES
FALSE_CLOSURE_LANGUAGE_PATCHED,YES
CANONICAL_SWITCHING_ISOLATED_INPUT,NO
ISOLATION_LAYER_ALIGNED_INPUT,NO
FALSE_SAFETY_RISK_INPUT,YES
PLAN_UPDATE_REQUIRED_INPUT,YES
PHASE_4_UPDATE_REQUIRED_INPUT,YES
PHASE_5_UPDATE_REQUIRED_INPUT,YES
PHASE_6_UPDATE_REQUIRED_INPUT,YES
MODULE_MODEL_REQUIRED_INPUT,YES
CROSS_MODULE_POLICY_REQUIRED_INPUT,YES
FORMALIZATION_BLOCKED_PENDING_PLAN_PATCH_INPUT,YES
POLICY_IMPLEMENTABLE_INPUT,NO
REGISTRY_RELIABLE_INPUT,NO
ENFORCEMENT_COVERAGE_SUFFICIENT_INPUT,NO
SYSTEM_READY_FOR_ISOLATION_ENFORCEMENT_INPUT,NO
SYSTEM_CLOSED_INPUT,NO
SAFE_TO_ENTER_PHASE_5_INPUT,NO
FALSE_CLOSURE_PRESENT_INPUT,YES
