"module_name","path","module_role","canonical_candidate","analysis_presence","mixed","relevance","candidate_for_deep_dive","notes"
"_legacy","_legacy","LEGACY_MODULE","NO","NO","NO","LOW","NO","quarantined legacy content"
"AC HC MagLab ver8","AC HC MagLab ver8","LEGACY_MODULE","NO","NO","NO","LOW","NO","versioned experiment package"
"Aging","Aging","CORE_MODULE","WEAK","YES","NO","HIGH","YES","prior table filename hints"
"Aging old","Aging old","LEGACY_MODULE","NO","NO","NO","MEDIUM","YES","legacy parallel pipeline"
"analysis","analysis","ANALYSIS_MODULE","NO","YES","NO","HIGH","YES","cross-experiment scripts root"
"archive","archive","LEGACY_MODULE","NO","NO","NO","LOW","NO","stale invalid artifacts"
"ARPES ver1","ARPES ver1","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"claims","claims","INFRA_COMPONENT","WEAK","NO","NO","MEDIUM","YES","JSON claim store layer"
"docs","docs","INFRA_COMPONENT","WEAK","NO","NO","HIGH","YES","policy and run contracts"
"FieldSweep ver3","FieldSweep ver3","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"figures","figures","INFRA_COMPONENT","NO","NO","NO","LOW","NO","figure output staging"
"Fitting ver1","Fitting ver1","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"General ver2","General ver2","LEGACY_MODULE","NO","NO","NO","LOW","NO","deprecated viz stack"
"github_repo","github_repo","INFRA_COMPONENT","NO","NO","NO","LOW","NO","bundled third-party assets"
"GUIs","GUIs","UNKNOWN","NO","NO","NO","LOW","NO","application UI layer"
"HC ver1","HC ver1","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"MH ver1","MH ver1","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"MT ver2","MT ver2","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"PS ver4","PS ver4","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"Relaxation ver3","Relaxation ver3","CORE_MODULE","WEAK","YES","NO","HIGH","YES","prior table filename hints"
"reports","reports","INFRA_COMPONENT","NO","NO","NO","MEDIUM","NO","global narrative outputs"
"Resistivity MagLab ver1","Resistivity MagLab ver1","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"Resistivity ver6","Resistivity ver6","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"results","results","INFRA_COMPONENT","NO","NO","NO","HIGH","YES","run evidence filesystem"
"results_old","results_old","LEGACY_MODULE","NO","NO","NO","LOW","NO","superseded results tree"
"review","review","UNKNOWN","NO","NO","NO","LOW","NO","ad-hoc review staging"
"runs","runs","INFRA_COMPONENT","NO","NO","NO","HIGH","YES","path and fingerprint shims"
"scripts","scripts","INFRA_COMPONENT","WEAK","NO","NO","MEDIUM","YES","repo automation scripts"
"snapshot_scientific_v3","snapshot_scientific_v3","INFRA_COMPONENT","WEAK","NO","NO","HIGH","YES","evidence index navigation"
"surveys","surveys","INFRA_COMPONENT","NO","NO","NO","MEDIUM","NO","survey registry staging"
"Susceptibility ver1","Susceptibility ver1","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical experiment package"
"Switching","Switching","CORE_MODULE","WEAK","YES","NO","HIGH","YES","prior table filename hints"
"Switching ver12","Switching ver12","LEGACY_MODULE","NO","NO","NO","MEDIUM","YES","legacy parallel pipeline"
"tables","tables","INFRA_COMPONENT","NO","NO","NO","MEDIUM","NO","global CSV output staging"
"tables_old","tables_old","LEGACY_MODULE","NO","NO","NO","LOW","NO","superseded table outputs"
"templates","templates","INFRA_COMPONENT","WEAK","NO","NO","LOW","NO","document templates only"
"tests","tests","INFRA_COMPONENT","NO","NO","NO","HIGH","YES","infrastructure test harness"
"tools","tools","INFRA_COMPONENT","NO","NO","NO","HIGH","YES","MATLAB execution wrappers"
"Tools ver1","Tools ver1","LEGACY_MODULE","NO","NO","NO","LOW","NO","historical tools package"
"zfAMR ver11","zfAMR ver11","LEGACY_MODULE","NO","YES","YES","LOW","YES","legacy plus analysis subtree"
