observable_name,observable_category,source_table,source_columns,aggregation_method,unit,required_quality_gates,readiness_level,allowed_interpretation,forbidden_interpretation
mt_point_row_count_per_file,basic_summary,mt_points_derived.csv,file_id,COUNT DISTINCT rows grouped by file_id,1,G01;G02;G03;G04;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Reports how many derived rows exist per file after cleaning and derivation.,Phase behavior; sample homogeneity; comparison across modules.
mt_point_row_count_per_segment,basic_summary,mt_points_derived.csv,file_id;segment_id,COUNT rows grouped by file_id and segment_id where segment_id finite,1,G01;G02;G03;G04;G10;G11;QG_SEGMENT_ANNOTATION;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Reports segment-wise row coverage for annotated ramps.,Correctness of segment physics; implied ZFC/FCW identity beyond coverage.
mt_T_min_K_per_scope,basic_summary,mt_points_derived.csv,T_K;file_id;segment_id,MIN of T_K over scope (file or segment per implementation contract),K,G01;G02;G03;G04;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Extremal temperature reached in the aggregated scope.,Equilibrium temperature accuracy without calibration audit.
mt_T_max_K_per_scope,basic_summary,mt_points_derived.csv,T_K;file_id;segment_id,MAX of T_K over scope,K,G01;G02;G03;G04;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Extremal temperature reached in the aggregated scope.,Same as mt_T_min_K_per_scope forbidden list.
mt_T_range_span_K_per_scope,basic_summary,mt_points_derived.csv,T_K;file_id;segment_id,MAX(T_K)-MIN(T_K) over scope,K,G01;G02;G03;G04;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Temperature span covered by points in the scope.,Thermal protocol completeness versus thermodynamic path claims.
mt_H_nominal_Oe_per_file,basic_summary,mt_points_derived.csv,H_Oe;file_id,MEDIAN of H_Oe over all rows in file where isfinite(H_Oe),Oe,G01;G02;G03;G04;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Robust central tendency of recorded field for protocol labeling.,Absolute field accuracy; cancellation of systematic field offset errors without calibration table.
mt_H_min_Oe_per_scope,basic_summary,mt_points_derived.csv,H_Oe;file_id;segment_id,MIN of H_Oe over scope,Oe,G01;G02;G03;G04;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Observed field floor in scope.,Field zeroing correctness without hardware audit.
mt_H_max_Oe_per_scope,basic_summary,mt_points_derived.csv,H_Oe;file_id;segment_id,MAX of H_Oe over scope,Oe,G01;G02;G03;G04;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Observed field ceiling in scope.,Ramp-rate-induced field error claims.
mt_H_range_span_Oe_per_scope,basic_summary,mt_points_derived.csv,H_Oe;file_id;segment_id,MAX(H_Oe)-MIN(H_Oe) over scope,Oe,G01;G02;G03;G04;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Field variability across points in scope.,Stability of superconducting magnet power supply beyond descriptive variability.
mt_M_clean_min_emu_per_scope,basic_summary,mt_points_derived.csv,M_emu_clean;file_id;segment_id,MIN of M_emu_clean over scope,emu,G01;G02;G03;G04;G07;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Lower envelope of cleaned moment in scope.,Intrinsic magnetic response after demagnetizing-field correction.
