T_K,antisymmetric_integral,slope_difference,local_curvature_window
4,-0.0308916758243634,-0.49487659463939,-0.998233449124881
6,-0.0374946100629135,-0.487558473108607,-1.03932722287578
8,-0.0454025870844515,-0.475888123805174,-1.02599172968686
10,-0.0422274511747607,-0.426285375432636,-0.852730178114852
12,-0.0311422520512123,-0.419344100265258,-0.838845031799863
14,-0.0234532669845806,-0.360392034972563,-0.720918853623423
16,-0.0187300005247634,-0.315767907520182,-0.631653909659373
18,-0.0167704219117547,-0.277773186082625,-0.555650257068688
20,-0.0188246979786115,-0.221439811230306,-0.442962439141844
22,0.00201532217575991,-0.118963264643421,-0.237971020576425
24,-0.00946269438756128,-0.189207431005468,-0.37848562404516
26,-0.0198727945445147,-0.118403825493066,-0.236851933050041
28,0.00317157002918245,-0.164118738157358,-0.328298855382675
30,0.00428324660833064,-0.175846771059195,-0.351759307374889
