"metric","value","notes"
"subset_used","no_22K","Primary decision subset"
"sigma1_over_sigma2","6.263467","SVD dominance"
"variance_mode1","0.959794","Rank-1 energy fraction"
"variance_mode1_plus_2","0.984259","Rank-(1+2) energy fraction"
"rmse_rank1_relFro","0.200514","Rank-1 reconstruction error"
"rmse_rank2_relFro","0.125461","Rank-2 reconstruction error"
"rmse_gain_rank2_minus_rank1","0.075052","Absolute RMSE gain from mode-2"
"mode2_stability_min_cosine","0.999339","LOO mode stability over temperature"
"mode2_stability_mean_cosine","0.999887","LOO mode stability over temperature"
"mode2_stability_max_angle_deg","2.082634","LOO angle ceiling"
"corr_mode2_I_peak","-0.926461","Mode-2 linkage to I_peak"
"corr_mode2_kappa","-0.697045","Mode-2 linkage to kappa"
"corr_mode2_tail_mean_threshold","-0.875054","Tail observable"
"corr_mode2_tail_std_threshold","-0.889553","Tail observable"
"corr_mode2_tail_skewness","-0.570507","Tail observable"
"corr_mode2_tail_cdf_rmse","-0.349359","Tail observable"
"best_corr_descriptor","I_peak_mA","Max absolute mode-2 correlation"
"best_corr_value","-0.926461","Value of strongest linkage"
"MODE2_REAL","YES","Final verdict"
"MODE2_LINKED_TO_LANDSCAPE","YES","Final verdict"
"RANK1_SUFFICIENT","NO","Final verdict"
