key,value
TASK_COMPLETED,YES
RELAXATION_MODULE_ONLY,YES
SWITCHING_USED,NO
X_USED,NO
AX_FIT_RUN,NO
POWERLAW_FIT_RUN,NO
CROSS_MODULE_CLAIM_CREATED,NO
RF3R2_INPUTS_FOUND,YES
RF3R2_MATRIX_BUILT,YES
LEGACY_AT_DEFINITION_RECONSTRUCTED,YES
A_T_CANON_COMPUTED,YES
CURRENT_M0_SVD_FOUND,YES
CURRENT_M0_LOO_FOUND,YES
RCON_SVD_SCORE_FOUND,YES
AOBS_FOUND,YES
APROJ_FOUND,YES
AT_CANON_EQUIVALENT_TO_M0_SVD,YES
AT_CANON_EQUIVALENT_TO_M0_LOO,YES
AT_CANON_EQUIVALENT_TO_RCON_SVD_SCORE,YES
AT_CANON_DISTINCT_FROM_AOBS,YES
AT_CANON_DISTINCT_FROM_APROJ,NO
READY_FOR_AX_REINTERPRETATION,YES
READY_FOR_POWERLAW_RETEST,YES
EXACT_OLD_AT_RECOVERED,NO
