T_K,present_in_AT_old,present_in_m0_svd,A_T_old,A_T_recomputed,m0_svd,notes
3.00004,0,1,NaN,NaN,-0.000141157985230205,LINEAGE_05
3.00004410743713,0,1,NaN,NaN,-0.000141157985230205,LINEAGE_05
5.00001096725464,0,0,NaN,NaN,NaN,LINEAGE_05
6.99999570846558,0,0,NaN,NaN,NaN,LINEAGE_05
8.99998569488525,0,0,NaN,NaN,NaN,LINEAGE_05
11.0000066757202,0,0,NaN,NaN,NaN,LINEAGE_05
13.0000102519989,0,0,NaN,NaN,NaN,LINEAGE_05
15.0000138282776,0,0,NaN,NaN,NaN,LINEAGE_05
17.0000133514404,0,0,NaN,NaN,NaN,LINEAGE_05
19,0,1,NaN,NaN,-0.000303867747088773,LINEAGE_05
19.0000095367432,0,1,NaN,NaN,-0.000303867747088773,LINEAGE_05
21.0000143051147,0,0,NaN,NaN,NaN,LINEAGE_05
23,0,1,NaN,NaN,-0.00040862987205273,LINEAGE_05
23.0000138282776,0,1,NaN,NaN,-0.00040862987205273,LINEAGE_05
25,0,1,NaN,NaN,-0.000434775708787082,LINEAGE_05
25.0000057220459,0,1,NaN,NaN,-0.000434775708787082,LINEAGE_05
27,0,1,NaN,NaN,-0.000462553851717589,LINEAGE_05
27.0000066757202,0,1,NaN,NaN,-0.000462553851717589,LINEAGE_05
29.0000133514404,0,0,NaN,NaN,NaN,LINEAGE_05
31,0,1,NaN,NaN,-0.00045423922426482,LINEAGE_05
31.0000162124634,0,1,NaN,NaN,-0.00045423922426482,LINEAGE_05
33,0,1,NaN,NaN,-6.22650519618874e-05,LINEAGE_05
33.0000095367432,0,1,NaN,NaN,-6.22650519618874e-05,LINEAGE_05
37,0,1,NaN,NaN,7.41869627112678e-06,LINEAGE_05
37.0000171661377,0,1,NaN,NaN,7.41869627112678e-06,LINEAGE_05
39.0000343322754,0,0,NaN,NaN,NaN,LINEAGE_05
