path,exists,role,namespace,required_or_optional,producer,key_columns,row_count,notes
tables/relaxation/relaxation_RF3R2_repaired_curve_samples.csv,YES,canonical_time_series_grid,R_ONLY_DATA,required,Recorded in relaxation_RF3R2_repaired_build_status.csv as post-hash verified build output (rf3r2_repaired_20260427_193555_src_run_2026_04_26_234453),"run_id,trace_id,sample_index,time_since_field_off,delta_m,quality_flag,valid_for_default_replay,rf3r2_build_id",8838,data_rows_excluding_header
tables/relaxation/relaxation_RF3R2_repaired_curve_index.csv,YES,per_trace_metadata_and_replay_flags,R_ONLY_DATA,required,same_build_as_curve_samples,"run_id,trace_id,temperature,trace_valid_for_relaxation,invalid_reason,is_quality_flagged,valid_for_default_replay,curve_sample_file_or_table,rf3r2_build_id,rf3r2_sample_mask_policy",18,data_rows_excluding_header_matches_build_status_temperature_count_18
tables/relaxation/relaxation_RF3R2_repaired_build_status.csv,YES,build_verdict_and_provenance_hashes,R_ONLY_META,required,RF3R2_repaired_replay_build_pipeline_documented_in_status,"verdict_key,verdict_value",21,key_value_rows_including_SOURCE_RUN_ID_and_hashes
tables/relaxation/relaxation_RCON_02B_Aproj_vs_SVD_score.csv,YES,primary_scalar_bundle_direct_obs_plus_SVD_family_columns,R_ONLY_SCALAR,required,relaxation_RCON_02B_pipeline_per_relaxation_RCON_02B_sources_and_status,"temperature_K,A_obs,A_proj_nonSVD,SVD_score_mode1,match_rule",18,data_rows_excluding_header
tables/relaxation/relaxation_RCON_02B_sources.csv,YES,RCON_input_lineage_to_scalar_bundle,R_ONLY_META,optional,Declared_inputs_to_RCON_02B,"source_item,source_path,source_type",6,
tables/relaxation/relaxation_RCON_02B_status.csv,YES,RCON_02B_execution_verdicts,R_ONLY_META,optional,Same_pipeline_as_Aproj_vs_SVD_score_table,"verdict_key,verdict_value",44,
tables/relaxation/relaxation_AT_canon_lineage_06_scalar_table.csv,YES,A_T_canon_bridge_strict_mask,SVD_family_RLX,required,LINEAGE_06_script_outputs_per_closure_dictionary,"T_K,A_T_canon_raw,A_T_canon_oriented,m0_svd,m0_LOO_SVD_projection,SVD_score_mode1,A_obs,A_proj_nonSVD,inclusion_status",8,data_rows_subset_of_18K_ladder
tables/relaxation/relaxation_AT_canon_lineage_06_status.csv,YES,lineage_06_task_status,R_ONLY_META,optional,LINEAGE_06,,,
tables/relaxation/relaxation_activity_representation_02_loo_svd_fold_metrics.csv,YES,LOO_SVD_fold_metrics_for_A_svd_LOO_canon,SVD_family_RLX,required,AR02_pipeline,"heldout_T_K,m0_LOO,m0_full_data_reference,winner_heldout",8,data_rows_excluding_header
tables/relaxation/relaxation_activity_final_closure_07_scalar_dictionary.csv,YES,closure_scalar_definitions_authoritative_prose,R_ONLY_META,required,CLOSURE_07_consolidation,"scalar,definition,source_artifact,recommended_role",10,
tables/relaxation/relaxation_activity_final_closure_07_scalar_hierarchy.csv,YES,closure_hierarchy_main_vs_supplement,R_ONLY_META,optional,CLOSURE_07,,,
tables/relaxation/relaxation_activity_final_closure_07_cross_module_handoff.csv,YES,authorization_flags_only_reference,R_ONLY_META,optional,CLOSURE_07,,,no_AX_execution_in_manifest_scope
tables/relaxation/relaxation_RF5A_RF3R2_primary_rank1.csv,YES,RF5A_rank1_diagnostics_on_RF3R2,R_ONLY_DIAGNOSTIC,optional,RF5A_runner_per_RF5A_status,,,
tables/relaxation/relaxation_RF5A_RF3R2_m0_svd_scores.csv,YES,RF5A_m0_svd_score_track,R_ONLY_DIAGNOSTIC,optional,RF5A_pipeline_feeds_RCON_sources,,,
tables/relaxation/relaxation_RF5A_RF3R2_status.csv,YES,RF5A_RF3R2_verdicts_including_tau_gate,R_ONLY_META,optional,RF5A_runner,"SAFE_TO_CONTINUE_TAU_AUDIT,NO",,
tables/relaxation/relaxation_tau_RF3R2_status.csv,YES,tau_narrow_replay_verdicts,R_ONLY_META,optional,tau_RF3R2_runner,"TAU_CANON_PUBLICATION_READY,NO",,
reports/relaxation/relaxation_activity_final_closure_07.md,YES,closure_report,R_ONLY_DOC,optional,CLOSURE_07,,,
tables/relaxation/relaxation_RF3R_default_replay_temperature_coverage.csv,YES,RF3R_era_default_replay_coverage_not_RF3R2_filename,R_ONLY_META,optional,RF3R_default_replay_pipeline,,,Contrast_with_RF3R2_index_valid_for_default_replay
