check_key,value,evidence,severity,notes
temperature_column_present_rc_on,PASS,relaxation_RCON_02B_Aproj_vs_SVD_score.csv_header_temperature_K,INFO,
temperature_column_present_lineage,PASS,relaxation_AT_canon_lineage_06_scalar_table.csv_header_T_K,INFO,
temperature_column_present_curve_index,PASS,relaxation_RF3R2_repaired_curve_index.csv_header_temperature,INFO,
temperature_values_finite_sample,PASS,First_rows_numeric_finite_in_RC_ON_and_index,INFO,Conservative_header_plus_spot_sample_only
curve_samples_index_linkable,PASS,Shared_trace_id_columns_run_id_in_samples_and_index,INFO,
rc_on_row_count_matches_index_temperature_count,PASS,RC_ON_18_data_rows_index_18_data_rows_build_status_18,INFO,
lineage_strict_mask_subset_of_rc_on,PASS,Lineage_table_8_rows_inside_18_temperature_ladder,INFO,Expected_not_error
duplicate_temperature_rows_rc_on,PASS,18_rows_expected_unique_temperature_ladder,INFO,Not_exhaustively_sorted_checked_by_row_count_alignment
legacy_column_headers_present,PASS,A_obs_SVD_score_mode1_are_source_names_not_contract_renames,INFO,Contract_names_applied_in_prose_and_manifest_only
A_T_old_numeric_evidence_absent,PASS,No_source_column_mapped_ALIAS_MISSING,INFO,
internal_consistency_overall,PARTIAL,Lineage06_eight_T_vs_full_bundle_eighteen_T_and_RF5A_tau_gate_NO,LOW,Scientific_scope_not_table_corruption
forbidden_contract_alias_A_canon_unused_in_manifest,PASS,Manifest_uses_A_obs_canon_A_svd_canon_only,INFO,
