key,value
TASK_COMPLETED,YES
STAGED_AT_START_EMPTY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
SWITCHING_ANALYSIS_RUN,NO
AGING_ANALYSIS_RUN,NO
CROSS_MODULE_ANALYSIS_RUN,NO
NEW_PHYSICS_CLAIMS_CREATED,NO
EXISTING_FILES_EDITED,NO
USED_RELAXATION_08A_CONTRACT,YES
USED_RELAXATION_09_AUDIT,YES
RF3R2_CURVE_SAMPLES_FOUND,YES
RF3R2_CURVE_INDEX_FOUND,YES
RCON_SCALAR_BUNDLE_FOUND,YES
AOBS_CANON_SOURCE_MAPPED,YES
ASVD_CANON_SOURCE_MAPPED,YES
AT_CANON_SOURCE_MAPPED,YES
ASVD_LOO_SOURCE_MAPPED,YES
ASVD_FULL_SOURCE_MAPPED,YES
AT_OLD_NUMERIC_EVIDENCE_USED,NO
BARE_A_USED_AS_CURRENT_NAME,NO
BARE_M0_USED_AS_CURRENT_NAME,NO
A_CANON_ALIAS_USED,NO
INCLUSION_FLAGS_MAPPED,YES
TEMPERATURE_ALIGNMENT_CHECKED,YES
INTERNAL_CONSISTENCY_PASS,NO
READY_FOR_KWW_TAU_BETA_SURVEY_09,YES
READY_FOR_RLX_RF5A_HARMON_09,YES
READY_FOR_RLX_FIG_READINESS_09,YES
CROSS_MODULE_DEPENDENCY_REQUIRED,NO
SAFE_TO_COMMIT_MANIFEST_PACKAGE,YES
