task_id,path,artifact_type,exists,placement_status,tracked_status_if_known,notes
AR01,run_relaxation_activity_representation_01.m,script,YES,ambiguous_repo_root_not_Relaxation_folder,untracked,Relaxation-only runner at repository root per local workspace
AR01,tables/relaxation/relaxation_activity_representation_01_input_inventory.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_scalar_definitions.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_common_scalar_table.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_reconstruction_metrics.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_heldout_temperature_metrics.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_inclusion_set_sensitivity.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_sign_scale_sensitivity.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_temperature_smoothness.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_scalar_pairwise_comparison.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_decision_matrix.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_verdicts.csv,table,YES,correct,untracked,
AR01,tables/relaxation/relaxation_activity_representation_01_status.csv,table,YES,correct,untracked,
AR01,reports/relaxation/relaxation_activity_representation_01_scalar_ranking.md,report,YES,correct,untracked,
AR01,figures/relaxation/canonical/relaxation_activity_representation_01_reconstruction_ranking.png,figure,YES,correct,untracked,
AR01,figures/relaxation/canonical/relaxation_activity_representation_01_heldout_ranking.png,figure,YES,correct,untracked,
AR01,figures/relaxation/canonical/relaxation_activity_representation_01_scalar_vs_temperature.png,figure,YES,correct,untracked,
AR01,figures/relaxation/canonical/relaxation_activity_representation_01_pairwise_scalars.png,figure,YES,correct,untracked,
AR02,run_relaxation_activity_representation_02.m,script,YES,ambiguous_repo_root_not_Relaxation_folder,untracked,
AR02,tables/relaxation/relaxation_activity_representation_02_loo_svd_fold_metrics.csv,table,YES,correct,untracked,
AR02,tables/relaxation/relaxation_activity_representation_02_loo_svd_summary.csv,table,YES,correct,untracked,
AR02,tables/relaxation/relaxation_activity_representation_02_map_variant_inventory.csv,table,YES,correct,untracked,
AR02,tables/relaxation/relaxation_activity_representation_02_map_variant_reconstruction_metrics.csv,table,YES,correct,untracked,
AR02,tables/relaxation/relaxation_activity_representation_02_map_variant_ranking_stability.csv,table,YES,correct,untracked,
AR02,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,table,YES,correct,untracked,
AR02,tables/relaxation/relaxation_activity_representation_02_status.csv,table,YES,correct,untracked,
AR02,reports/relaxation/relaxation_activity_representation_02_loo_svd_and_robustness.md,report,YES,correct,untracked,
AR02,figures/relaxation/canonical/relaxation_activity_representation_02_loo_svd_rmse_ranking.png,figure,YES,correct,untracked,
AR02,figures/relaxation/canonical/relaxation_activity_representation_02_m0_loo_vs_full.png,figure,YES,correct,untracked,
AR03,run_relaxation_activity_representation_03.m,script,YES,ambiguous_repo_root_not_Relaxation_folder,untracked,
AR03,tables/relaxation/relaxation_activity_representation_03_variant_inventory.csv,table,YES,correct,untracked,
AR03,tables/relaxation/relaxation_activity_representation_03_reconstruction_metrics.csv,table,YES,correct,untracked,
AR03,tables/relaxation/relaxation_activity_representation_03_ranking_summary.csv,table,YES,correct,untracked,
AR03,tables/relaxation/relaxation_activity_representation_03_ranking_stability.csv,table,YES,correct,untracked,
AR03,tables/relaxation/relaxation_activity_representation_03_verdicts.csv,table,YES,correct,untracked,
AR03,tables/relaxation/relaxation_activity_representation_03_status.csv,table,YES,correct,untracked,
AR03,reports/relaxation/relaxation_activity_representation_03_robustness_audit.md,report,YES,correct,untracked,
AR03,figures/relaxation/canonical/relaxation_activity_representation_03_ranking_across_variants.png,figure,YES,correct,untracked,
AR03,figures/relaxation/canonical/relaxation_activity_representation_03_rmse_comparison.png,figure,YES,correct,untracked,
LINEAGE_REF,Relaxation ver3/diagnostics/run_relaxation_observable_stability_audit.m,script,YES,correct_under_Relaxation_ver3,untracked,Candidate producer referenced for stability lineage context
LINEAGE_REF,Relaxation ver3/run_relaxation_RF5A_m0_proxy_audit_RF3R.m,script,YES,correct_under_Relaxation_ver3,untracked,m0 proxy audit named in consolidation background
LINEAGE_REF,Relaxation ver3/run_relaxation_RF5A_RF3R2_primary_rank1_and_m0.m,script,YES,correct_under_Relaxation_ver3,untracked,Related RF5A rank1 script present in repo (extra)
LINEAGE_REF,Relaxation ver3/run_relaxation_activity_A_vs_m0_diagnostic_RF3R.m,script,YES,correct_under_Relaxation_ver3,untracked,A vs m0 diagnostic bridge toward lineage reconciliation
