variant_id,best_scalar,second_scalar,third_scalar,worst_scalar
AR03_B1_W1_G1_I1,m0_LOO_SVD_projection,A_proj_nonSVD,A_obs,m0_svd_full_reference
AR03_B2_W1_G1_I1,m0_LOO_SVD_projection,A_obs,A_proj_nonSVD,m0_svd_full_reference
AR03_B3_W1_G1_I1,m0_LOO_SVD_projection,A_proj_nonSVD,A_obs,m0_svd_full_reference
AR03_B4_W1_G1_I1,m0_LOO_SVD_projection,A_obs,A_proj_nonSVD,m0_svd_full_reference
AR03_B1_W2_G1_I1,m0_LOO_SVD_projection,A_proj_nonSVD,A_obs,m0_svd_full_reference
AR03_B1_W3_G1_I1,m0_LOO_SVD_projection,A_proj_nonSVD,A_obs,m0_svd_full_reference
AR03_B1_W4_G1_I1,m0_LOO_SVD_projection,A_proj_nonSVD,A_obs,m0_svd_full_reference
AR03_B1_W1_G1_I2,m0_LOO_SVD_projection,A_proj_nonSVD,A_obs,m0_svd_full_reference
AR03_B1_W1_G2_I1,m0_LOO_SVD_projection,A_proj_nonSVD,A_obs,m0_svd_full_reference
AR03_B2_W1_G2_I1,m0_LOO_SVD_projection,A_obs,A_proj_nonSVD,m0_svd_full_reference
AR03_B1_W2_G2_I1,m0_LOO_SVD_projection,A_proj_nonSVD,A_obs,m0_svd_full_reference
AR03_B2_W2_G1_I1,m0_LOO_SVD_projection,A_obs,A_proj_nonSVD,m0_svd_full_reference
