key,value
TASK_COMPLETED,YES
SURVEY_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
SWITCHING_ANALYSIS_RUN,NO
AGING_ANALYSIS_RUN,NO
CROSS_MODULE_ANALYSIS_RUN,NO
CURRENT_CANONICAL_INVENTORY_WRITTEN,YES
LEGACY_GAP_MAP_WRITTEN,YES
CROSS_MODULE_BOUNDARY_WRITTEN,YES
NAMING_CONTRACT_WRITTEN,YES
A_POLICY_WRITTEN,YES
COMPLETION_ROADMAP_WRITTEN,YES
AOBS_CAN_BE_CANONICAL_DIRECT_OBSERVABLE,YES
ASVD_CAN_BE_CANONICAL_RANK1_COORDINATE,YES
AT_CANON_ALIAS_OF_ASVD_FAMILY,YES
AT_CANON_PREFERRED_HUMAN_READABLE_ASVD_REPRESENTATIVE,PARTIAL
M0_LOO_OPERATIONAL_NONLEAKY_ASVD_REPRESENTATIVE,YES
AT_OLD_NUMERIC_EVIDENCE_ALLOWED,NO
BARE_A_ALLOWED,NO
BARE_M0_ALLOWED,NO
CROSS_MODULE_MUST_TEST_AOBS_AND_ASVD,YES
READY_FOR_NEXT_RELAXATION_ONLY_TASK,YES
READY_FOR_NEXT_CROSS_MODULE_TASK,YES
SAFE_TO_COMMIT_SURVEY_PACKAGE,YES
