check_key,value,evidence,notes
08A_survey_md_present,YES,reports/relaxation/relaxation_canonical_analysis_survey_08A.md read in audit,
08A_naming_doc_present,YES,docs/relaxation_activity_naming_contract_08A.md,
08A_all_tables_present,YES,Eleven 08A paths listed in file_audit all opened successfully,
A_obs_canon_defined,YES,"docs §2 table; aliases CSV row A_obs_canon",
A_svd_canon_defined,YES,"docs §2; aliases CSV A_svd_canon family",
A_T_canon_defined,YES,"docs §2 sigma1*U(:,1) representative; aliases CSV",
A_svd_LOO_canon_defined,YES,"docs §2 m0_LOO track; aliases CSV operational_LOO",
A_svd_full_canon_defined,YES,"docs §2 m0_svd SVD_score_mode1; aliases CSV",
A_T_old_non_numeric,YES,"aliases CSV A_T_old MISSING none_numeric; forbidden numeric join",
bare_A_forbidden,YES,forbidden_terms.csv term A,
bare_m0_forbidden,YES,forbidden_terms.csv term m0 with legacy code exception,
bare_A_T_forbidden,YES,forbidden_terms.csv term A_T replace with A_T_canon vs A_T_old,
bare_activity_restricted,PARTIAL,forbidden_terms.csv activity allowed section headings if scoped,
bare_amplitude_restricted,PARTIAL,forbidden_terms.csv amplitude caption once define symbols table,
canonical_A_phrase_forbidden,YES,forbidden_terms.csv canonical A and the canonical amplitude,
A_policy_main_text_A_obs,YES,A_policy.csv main_paper_figure primary_scalar A_obs_canon,
A_policy_reconstruction_svd_family,YES,A_policy.csv supplement_reconstruction_figure A_svd_LOO_canon member of A_svd_canon family,
A_policy_legacy_SVD_as_A_T_canon,YES,aliases and docs A_T_canon explicit legacy bridge inside A_svd_canon,
A_policy_non_leaky_A_svd_LOO,YES,aliases A_svd_LOO_canon m0_LOO_SVD_projection,
A_policy_cross_module_dual_tracks,YES,A_policy.csv AX_cross_module MUST_TEST_BOTH_TRACKS; survey §12,
survey_lists_A_policy_table,PARTIAL,survey_08A.md §7 lists three naming tables omits A_policy filename; §8 references A_policy,
