T_K,N_POINTS,SHAPE_FLIP,R_SIGN_CHANGE,DR_SIGN_CHANGES,WIDTH_METRIC_LOGT,WIDTH_ZSCORE,WIDTH_OUTLIER,OUTLIER_SCORE,CURVATURE_MAX_ABS,CURVATURE_ANOMALY,IS_OUTLIER,IN_TRANSITION_22_24,ALIGNED_ALPHA_TK,ALIGNED_KAPPA1,ALIGNED_KAPPA2
3,360,1,1,101,1.91967669031167,-0.166324917410973,0,1.16632491741097,0.0036425520538834,1.03706764951557,1,0,4,0.179546725888347,-0.0656223683737462
5,360,0,0,101,1.92868925693285,-0.146449612814696,0,0.146449612814696,0.00326351877805808,0.501571453479799,0,0,6,0.190781377067108,-0.0615892619750529
7,360,1,0,118,2.40635528785547,0.90694153078816,0,1.90694153078816,0.00244019193700123,0.66162032835013,1,0,8,0.19690765457114,-0.0497927909180983
9,360,0,0,108,2.48746838744611,1.0858192721547,0,1.0858192721547,0.00235104456054865,0.787567267633974,0,0,10,0.17710703759542,-0.0252478335549061
11,360,1,1,107,1.83856359072103,-0.34520265877751,0,1.34520265877751,0.00378437991649855,1.23744129944624,1,0,12,0.15269503326033,0.0481763654815828
13,360,0,0,111,1.98276465665994,-0.0271977852370129,0,0.0271977852370129,0.00219354452602392,1.01008247867936,0,0,14,0.12447122604336,0.0598040402254154
15,360,0,0,106,0.56779169713444,-3.14762060685303,1,3.14762060685303,0.00423442500772872,1.87326261057934,1,0,16,0.107134927362003,0.0756877685633675
17,360,0,0,113,1.88362642382694,-0.245826135796103,0,0.245826135796103,0.0028135539829377,0.134136415736473,0,0,18,0.0980185873442758,0.0839682454095365
19,360,0,0,112,2.48746838744611,1.0858192721547,0,1.0858192721547,0.00252825816443312,0.537200830652174,0,0,20,0.0898318457622685,0.0455834306546876
21,360,1,0,118,1.86560129058458,-0.285576744988658,0,1.28557674498866,0.00219859169276138,1.00295186835818,1,0,22,0.0382966167716672,0.10405084115363
23,360,1,0,121,1.93770182355403,-0.12657430821842,0,1.12657430821842,0.00223174179837088,0.956117575476064,1,1,24,0.0699734936967039,0.162440757725133
25,360,0,0,108,1.84757615734222,-0.325327354181212,0,0.325327354181212,0.00370363237604484,1.1233616037835,0,0,26,0.0640590044738315,0.013878672075776
27,360,0,0,113,2.49648095406729,1.10569457675097,0,1.10569457675097,0.00306579697123361,0.222231136466003,0,0,28,0.0611692729252666,0.059297741557869
29,360,1,0,122,2.49648095406729,1.10569457675097,0,2.10569457675097,0.00240351747990735,0.713433806263614,1,0,30,0.0481472826690587,-0.359176031865287
31,360,0,0,113,2.4874683874461,1.08581927215468,0,1.08581927215468,0.00249206364349827,0.588336257312922,0,0,NaN,NaN,NaN
33,360,1,1,114,1.67633739153976,-0.702958141510562,0,1.70295814151056,0.00426679303968862,1.91899199396909,1,0,NaN,NaN,NaN
35,360,1,1,125,1.88362642382694,-0.245826135796104,0,1.2458261357961,0.00303192308083758,0.174374284287229,1,0,NaN,NaN,NaN
37,360,1,1,120,1.96473952341758,-0.0669483944295668,0,1.06694839442957,0.00235430390811192,0.782962478732809,1,0,NaN,NaN,NaN
39,360,1,1,114,1.74843792450921,-0.543955704740324,0,1.54395570474032,0.00226162926306101,0.913892724331089,1,0,NaN,NaN,NaN
