file_path,n_rows,n_cols,has_temperature,has_time,has_signal,format_type
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_171522_observable_mode_correlation\tables\observable_mode_correlations.csv,36,12,NO,YES,NO,unknown
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_171522_observable_mode_correlation\tables\observable_mode_joined_table.csv,60,35,YES,YES,NO,wide
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\observables.csv,210,8,YES,NO,NO,feature
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\tables\observable_matrix.csv,30,13,YES,YES,NO,wide
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\tables\observable_mode_correlations.csv,36,7,NO,YES,NO,unknown
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\tables\svd_mode_coefficients.csv,60,12,YES,YES,NO,wide
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\tables\svd_singular_values.csv,60,6,NO,NO,NO,feature
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\observables.csv,3,11,NO,YES,NO,unknown
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\DeltaM_map.csv,450,3,NO,NO,NO,feature
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\T_axis.csv,450,1,YES,NO,NO,feature
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\observable_matrix.csv,3,11,NO,YES,NO,unknown
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\observable_mode_correlations.csv,15,6,NO,YES,NO,unknown
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\svd_U.csv,450,4,YES,NO,NO,feature
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\svd_V.csv,3,8,NO,YES,NO,unknown
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\svd_mode_coefficients.csv,3,9,NO,YES,NO,unknown
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\svd_singular_values.csv,3,5,NO,NO,NO,feature
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\tw_axis.csv,3,6,NO,YES,NO,unknown
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\observables.csv,4,11,NO,YES,NO,unknown
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\DeltaM_map.csv,450,4,NO,NO,NO,feature
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\T_axis.csv,450,1,YES,NO,NO,feature
