"entrypoint","path","classification","uses_run_context","writes_execution_status","produces_run_dir","trust_level","notes"
"run_a1_integral_consistency_wrapper","run_a1_integral_consistency_wrapper.m","UNKNOWN","NO","NO","YES","PARTIAL",""
"run_a1_mobility_wrapper","run_a1_mobility_wrapper.m","UNKNOWN","NO","NO","YES","PARTIAL",""
"run_activation_signature_wrapper","run_activation_signature_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_aging_clock_ratio_temperature_scaling_wrapper","run_aging_clock_ratio_temperature_scaling_wrapper.m","UNKNOWN","NO","NO","YES","PARTIAL",""
"run_aging_execution_diagnostics","run_aging_execution_diagnostics.m","UNKNOWN","YES","NO","YES","PARTIAL",""
"run_aging_measurement_definition_audit","run_aging_measurement_definition_audit.m","UNKNOWN","NO","YES","YES","PARTIAL",""
"run_aging_trace_structure_minimal","run_aging_trace_structure_minimal.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_amplitude_response_wrapper","run_amplitude_response_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_barrier_distribution_wrapper","run_barrier_distribution_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_creep_activation_scaling_wrapper","run_creep_activation_scaling_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_geometry_deformation_wrapper","run_geometry_deformation_wrapper.m","UNKNOWN","NO","NO","YES","PARTIAL",""
"run_kappa1_pt_vs_speak_test","run_kappa1_pt_vs_speak_test.m","UNKNOWN","YES","NO","YES","PARTIAL",""
"run_kappa2_robust_audit","run_kappa2_robust_audit.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_minimal_canonical","run_minimal_canonical.m","NON_CANONICAL","NO","YES","NO","PARTIAL","Same basename as Switching/analysis/run_minimal_canonical.m; NON_CANONICAL per tables/switching_noncanonical_scripts.csv."
"run_parameter_robustness_stage1b_width_kappa","run_parameter_robustness_stage1b_width_kappa.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_parameter_robustness_stage1_canonical","run_parameter_robustness_stage1_canonical.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_relaxation_canonical_implementation_check","run_relaxation_canonical_implementation_check.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_relaxation_canonical_implementation_check_dirty_backup","run_relaxation_canonical_implementation_check_dirty_backup.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_relaxation_measurement_canonical_self_audit","run_relaxation_measurement_canonical_self_audit.m","UNKNOWN","NO","YES","YES","PARTIAL",""
"run_relaxation_measurement_focused_t0_norm_window","run_relaxation_measurement_focused_t0_norm_window.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_relaxation_temperature_scaling_wrapper","run_relaxation_temperature_scaling_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_ridge_susceptibility_analysis_wrapper","run_ridge_susceptibility_analysis_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_ridge_temperature_susceptibility_wrapper","run_ridge_temperature_susceptibility_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_rmse_structure_vs_scale_closure_wrapper","run_rmse_structure_vs_scale_closure_wrapper.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_switching_creep_barrier_analysis_wrapper","run_switching_creep_barrier_analysis_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_switching_creep_scaling_wrapper","run_switching_creep_scaling_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_switching_threshold_residual_structure_wrapper","run_switching_threshold_residual_structure_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_switching_width_roughness_competition_wrapper","run_switching_width_roughness_competition_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_threshold_distribution_model","run_threshold_distribution_model.m","UNKNOWN","YES","NO","YES","PARTIAL",""
"run_x_vs_r_predictor_comparison_wrapper","run_x_vs_r_predictor_comparison_wrapper.m","UNKNOWN","NO","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_diagnostic_wrapped","Aging/tests/switching_stability/run_diagnostic_wrapped.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_agent24h_figures","analysis/run_agent24h_figures.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_aging_alpha_closure_agent24f","analysis/run_aging_alpha_closure_agent24f.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_aging_hermetic_closure_agent24i","analysis/run_aging_hermetic_closure_agent24i.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_aging_kappa1_prediction_agent24d","analysis/run_aging_kappa1_prediction_agent24d.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_aging_kappa2_agent24g","analysis/run_aging_kappa2_agent24g.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_aging_prediction_agent24b","analysis/run_aging_prediction_agent24b.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_aging_R_vs_collective_state_agent23a","analysis/run_aging_R_vs_collective_state_agent23a.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_aging_vs_trajectory_agent23b","analysis/run_aging_vs_trajectory_agent23b.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_alpha_decomposition_agent21a","analysis/run_alpha_decomposition_agent21a.m","UNKNOWN","NO","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_alpha_from_pt_agent20b","analysis/run_alpha_from_pt_agent20b.m","UNKNOWN","NO","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_alpha_res_collective_state_agent22b","analysis/run_alpha_res_collective_state_agent22b.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_alpha_res_cross_experiment_correlation","analysis/run_alpha_res_cross_experiment_correlation.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_alpha_res_origin_test","analysis/run_alpha_res_origin_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_alpha_res_physics_agent21b","analysis/run_alpha_res_physics_agent21b.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_alpha_res_smoothed_state_agent22e","analysis/run_alpha_res_smoothed_state_agent22e.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_alpha_res_trajectory_agent22d","analysis/run_alpha_res_trajectory_agent22d.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_alpha_res_transition_agent22a","analysis/run_alpha_res_transition_agent22a.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_alpha_structure_agent19f","analysis/run_alpha_structure_agent19f.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_alpha_with_kappa1_agent21c","analysis/run_alpha_with_kappa1_agent21c.m","UNKNOWN","NO","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_alternative_coordinate_search","analysis/run_alternative_coordinate_search.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_A_prediction_from_switching_agent24a","analysis/run_A_prediction_from_switching_agent24a.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_barrier_relaxation_mechanism_closure","analysis/run_barrier_relaxation_mechanism_closure.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_barrier_to_relaxation_mechanism","analysis/run_barrier_to_relaxation_mechanism.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_deformation_closure_agent19e","analysis/run_deformation_closure_agent19e.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_effective_collective_state_test","analysis/run_effective_collective_state_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_elastic_mode_phi_test","analysis/run_elastic_mode_phi_test.m","UNKNOWN","NO","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_full_prediction_trajectory_agent23c","analysis/run_full_prediction_trajectory_agent23c.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_kappa1_from_pt_agent20a","analysis/run_kappa1_from_pt_agent20a.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_kappa1_pt_vs_speak_test","analysis/run_kappa1_pt_vs_speak_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_kappa1_simplification_test","analysis/run_kappa1_simplification_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_kappa2_state_vs_geometry_test","analysis/run_kappa2_state_vs_geometry_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_local_shift_agent19g","analysis/run_local_shift_agent19g.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_mode_coupling_agent_e","analysis/run_mode_coupling_agent_e.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_nonlinear_response_agent19h","analysis/run_nonlinear_response_agent19h.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_perturbative_closure_test","analysis/run_perturbative_closure_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
