"file","classification","target_folder","notes"
".gitattributes","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
".gitignore","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"_23c_log.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_23cout.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_agent22b_diary.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_agent22b_matlab_log.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_kappa1_pt_vs_speak_debug.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_loocv_run.m","LEGACY","legacy/root_dupes/","Legacy candidate per structural_alignment_plan.md section 5 LEGACY_CANDIDATE"
"_loocv_tmp.py","LEGACY","legacy/root_dupes/","Legacy candidate per structural_alignment_plan.md section 5 LEGACY_CANDIDATE"
"_matlab_agent23a.log","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_matlab_agent23a.log.err","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_matlab_debug_hello.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_matlab_direct_probe.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_matlab_direct_stderr.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_matlab_direct_stdout.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_matlab_ok.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"_matlab_touch.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"agent20a_matlab.log","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"codex_write_test.tmp","IGNORE","tmp/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"CONTRIBUTING.md","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"GenerateREADME.m","MOVE","tools/dev/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"kappa_physical_interpretation.md","MOVE","docs/analysis_notes/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"kappa2_audit_status.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"kappa2_build_error.log","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"kappa2_build_status.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"kappa2_columns_debug.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"kappa2_phen_audit_inputs_status.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"kappa2_phen_inputs.mat","MOVE","analysis/audits/data/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"matlab_agent19e_log.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_audit_log.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_batch_debug.log","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_debug_output.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_direct_debug.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_direct_probe.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_direct_short_probe.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_error.log","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_out_test.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_out_test_abs.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_probe.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_probe_only_marker.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_probe_out.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_pwd_probe.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_r_debug.log","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_script_exist_probe.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_test_log.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_test_log2.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_tiedrank_exist_probe.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab_wrapper_debug_output.txt","IGNORE","logs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"matlab-functions.code-workspace","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"phi_avalanche_mode_test.md","MOVE","docs/analysis_notes/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"phi_memory_mode_test.md","MOVE","docs/analysis_notes/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"probe_path_check.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"probe_pwd.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"probe_success.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"README.md","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"repo_state_generator.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"repo_state_validator.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_a1_integral_consistency_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_a1_mobility_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_activation_signature_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_aging_clock_ratio_temperature_scaling_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_amplitude_response_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_barrier_distribution_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_creep_activation_scaling_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_dir_pointer.txt","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_geometry_deformation_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_kappa1_pt_vs_speak_test.m","LEGACY","legacy/root_dupes/","Legacy candidate per structural_alignment_plan.md section 5 LEGACY_CANDIDATE"
"run_kappa2_robust_audit.m","MOVE","analysis/audits/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"run_minimal_canonical.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_relaxation_temperature_scaling_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_ridge_susceptibility_analysis_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_ridge_temperature_susceptibility_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_switching_creep_barrier_analysis_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_switching_creep_scaling_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_switching_threshold_residual_structure_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_switching_width_roughness_competition_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"run_threshold_distribution_model.m","MOVE","analysis/models/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"run_x_vs_r_predictor_comparison_wrapper.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"safe_wrapper_test.txt","IGNORE","probe_outputs/","Scratch/log/temp artifact per structural_alignment_plan.md section 5 IGNORE"
"script_asset_inventory.csv","MOVE","docs/inventory/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"setup_repo.m","KEEP","root/","Canonical root file per structural_alignment_plan.md section 5 KEEP"
"svd_projection_test.m","MOVE","tests/scientific/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"temp_run_inventory.ps1","MOVE","scripts/audit/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"test_execution_probe.m","MOVE","tests/probes/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"test_probe.m","MOVE","tests/probes/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"test_probe_checks.m","MOVE","tests/probes/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"test_run_wrapper.m","MOVE","tests/infrastructure/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"test_save.mat","LEGACY","legacy/root_dupes/","Legacy candidate per structural_alignment_plan.md section 5 LEGACY_CANDIDATE"
"test_threshold_init.m","MOVE","tests/scientific/","Relocate in Stage 3 per structural_alignment_plan.md section 5 MOVE"
"tmp_a1_observable_analysis.m","LEGACY","legacy/root_dupes/","Legacy candidate per structural_alignment_plan.md section 5 LEGACY_CANDIDATE"
"tmp_determinism_check.m","LEGACY","legacy/root_dupes/","Legacy candidate per structural_alignment_plan.md section 5 LEGACY_CANDIDATE"
