verdict_key,value
SWITCHING_CANONICAL_STATE_AUDIT_COMPLETE,YES
SWITCHING_ONLY,YES
RELAXATION_USED,NO
CROSS_MODULE_CLAIM_CREATED,NO
CANONICAL_FOUNDATION_INDEXED,YES
CANONICAL_MAP_SPINE_INDEXED,YES
GEOCANON_T1_STATUS_INDEXED,YES
GEOCANON_T2_STATUS_INDEXED,PARTIAL_OPEN_GATE
COORDINATE_IDENTIFIABILITY_INDEXED,PARTIAL
COLLAPSE_STATUS_INDEXED,YES
CORRECTED_OLD_STATUS_INDEXED,YES
LEGACY_SEPARATED_FROM_CANONICAL,YES
SAFE_CLAIMS_LISTED,YES
UNSAFE_CLAIMS_LISTED,YES
OPEN_TASKS_LISTED,YES
SAFE_TO_COMPARE_TO_RELAXATION_NOW,NO
SAFE_TO_WRITE_SWITCHING_CANONICAL_INTERPRETATION_NOW,PARTIAL
SAFE_TO_RUN_CROSS_MODULE_PLACEMENT_TIGHTENING_NEXT,YES
