analysis_id,analysis_name,FINAL_CLASS,SOURCE_OF_TRUTH,duplicate_group,reason,evidence
exec_run_switching_canonical_2026_04_02_234844,run_switching_canonical pipeline outputs,FAILED_CANONICAL,NO,DG1,"Same script and artifact names as other switching_canonical runs; not selected SOURCE_OF_TRUTH; redundant relative to chosen canonical run.","tables/switching_collapse_verification.csv row cites identical SHA256 across run_*_switching_canonical; tables/switching_run_trust_classification.csv TRUSTED_CANONICAL."
exec_run_switching_canonical_2026_04_03_000008,run_switching_canonical pipeline outputs,FAILED_CANONICAL,NO,DG1,"Same script and artifact names as other switching_canonical runs; not selected SOURCE_OF_TRUTH; redundant relative to chosen canonical run.","tables/switching_collapse_verification.csv; tables/switching_run_trust_classification.csv TRUSTED_CANONICAL."
exec_run_switching_canonical_2026_04_03_000147,run_switching_canonical pipeline outputs,CANONICAL,YES,DG1;DG2,"depends_on_canonical_entrypoint YES; results/switching/runs run_dir with execution_status.csv; full switching_canonical_*.csv and paired reports; TRUSTED_CANONICAL; designated SOURCE_OF_TRUTH for duplicate groups DG1 and DG2.","tables/switching_run_trust_classification.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/execution_status.csv; switching_canonical_validation.csv CHECK_NO_PRECOMPUTED_INPUTS; tables/switching_analysis_duplicates.csv DG1 DG2."
exec_run_switching_canonical_2026_04_03_091018,run_switching_canonical pipeline outputs,FAILED_CANONICAL,NO,DG1,"Full run_dir present but run id absent from TRUSTED_CANONICAL rows in tables/switching_run_trust_classification.csv; doubt disallows CANONICAL; duplicate family relative to SOURCE_OF_TRUTH run.","tables/switching_run_trust_classification.csv (three TRUSTED ids only); tables/switching_analysis_inventory.csv notes."
inv_switching_canonical_component_classification,switching_canonical_component_classification,LEGACY,NO,,"depends_on_canonical_entrypoint not YES; inspect-only bundle per report; no run_switching_canonical execution artifact for this analysis id.","reports/switching_canonical_component_classification.md header; tables/switching_analysis_inventory.csv."
inv_switching_canonical_definition_audit,switching_canonical_definition_audit,FAILED_CANONICAL,NO,,"depends YES but no dedicated valid run_dir plus execution_status for this analysis bundle; inspect-only; fails strict run-backed CANONICAL definition.","reports/switching_canonical_definition_audit.md; tables/switching_analysis_inventory.csv."
inv_switching_canonical_definition_extraction,switching_canonical_definition_extraction,FAILED_CANONICAL,NO,DG2,"depends YES; no run_dir-backed execution for this bundle; duplicate Phi1 truth relative to SOURCE_OF_TRUTH run per tables/switching_analysis_duplicates.csv DG2.","tables/switching_canonical_definition_extraction.csv; tables/switching_analysis_duplicates.csv DG2; exec SOURCE_OF_TRUTH switching_canonical_phi1.csv path."
inv_switching_canonical_robustness_contract,switching_canonical_robustness_contract,LEGACY,NO,,"depends_on_canonical_entrypoint not YES; documentation bundle only.","tables/switching_analysis_inventory.csv."
inv_switching_collapse_verification,switching_collapse_verification,FAILED_CANONICAL,YES,DG3,"depends YES; no run_dir for this analysis id; claim table plus report are inspect/verification of code and run paths; SOURCE_OF_TRUTH for DG3 pair per tables/switching_analysis_duplicates.csv.","tables/switching_collapse_verification.csv; tables/switching_analysis_duplicates.csv DG3."
inv_switching_core_analysis_coverage,switching_core_analysis_coverage,FAILED_CANONICAL,NO,,"depends YES; inspect-only coverage report; no run_dir execution for this analysis id.","reports/switching_core_analysis_coverage.md; tables/switching_analysis_inventory.csv."
inv_switching_scaling_canonical_test,switching_scaling_canonical_test,FAILED_CANONICAL,NO,,"depends YES; secondary tables derived from canonical run files without a dedicated switching_scaling run_dir with execution_status; fails strict CANONICAL gate.","reports/switching_scaling_canonical_test.md; tables/switching_scaling_metrics_summary.csv; tables/switching_analysis_inventory.csv."
inv_switching_layer1_robustness_reconciliation,switching_layer1_robustness_reconciliation,LEGACY,YES,DG4,"depends_on_canonical_entrypoint not YES; reconciliation table of paths; SOURCE_OF_TRUTH for DG4 pair; legacy duplicate handling keeps non-SOT as LEGACY.","tables/switching_layer1_robustness_reconciliation.csv; tables/switching_analysis_duplicates.csv DG4."
inv_switching_parameter_robustness_update_audit,switching_parameter_robustness_update_audit,LEGACY,NO,,"depends_on_canonical_entrypoint not YES.","tables/switching_analysis_inventory.csv."
inv_switching_replay_plan,switching_replay_plan,LEGACY,NO,,"depends_on_canonical_entrypoint not YES.","tables/switching_analysis_inventory.csv."
inv_switching_replay_reconciliation,switching_replay_reconciliation,LEGACY,NO,,"depends_on_canonical_entrypoint not YES.","tables/switching_analysis_inventory.csv."
inv_switching_robustness_definition_recovery,switching_robustness_definition_recovery,LEGACY,NO,,"depends_on_canonical_entrypoint not YES.","tables/switching_analysis_inventory.csv."
inv_switching_robustness_execution_trace,switching_robustness_execution_trace,LEGACY,NO,,"depends_on_canonical_entrypoint not YES.","tables/switching_analysis_inventory.csv."
inv_switching_robustness_rerun_readiness,switching_robustness_rerun_readiness,LEGACY,NO,,"depends_on_canonical_entrypoint not YES.","tables/switching_analysis_inventory.csv."
inv_switching_robustness_root_validation,switching_robustness_root_validation,LEGACY,NO,,"depends_on_canonical_entrypoint not YES.","tables/switching_analysis_inventory.csv."
inv_switching_robustness_unblock_plan,switching_robustness_unblock_plan,LEGACY,NO,,"depends_on_canonical_entrypoint not YES.","tables/switching_analysis_inventory.csv."
inv_switching_canonical_boundary_definition,switching_canonical_boundary_definition,FAILED_CANONICAL,NO,,"depends YES; inspect-only boundary doc; no run_dir for this analysis id.","reports/switching_canonical_boundary_definition.md; tables/switching_analysis_inventory.csv."
