analysis_name,missing_canonical_run,legacy_dependency,uses_tables_old,missing_artifacts,gap_notes
analyze_phi_kappa_canonical_space,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
checkNoDuplicateTemps,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
computeMetrics,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
debug_fix_o2_pipeline,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
ensureDir,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
run_switching_physical_baseline_model,YES,NO,NO,UNKNOWN,Cannot replay with TRUSTED_CANONICAL Switching inputs only | No absolute tables/reports literals in script; verify run_dir outputs
run_switching_raw_baseline_correction_and_comparison,YES,NO,NO,UNKNOWN,Cannot replay with TRUSTED_CANONICAL Switching inputs only | No absolute tables/reports literals in script; verify run_dir outputs
find_relaxation_time_series,YES,NO,NO,UNKNOWN,Cannot replay with TRUSTED_CANONICAL Switching inputs only | No absolute tables/reports literals in script; verify run_dir outputs
formatNum,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
getVarByCandidates,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
inspect_relaxation_data_structure,YES,YES,NO,UNKNOWN,Cannot replay with TRUSTED_CANONICAL Switching inputs only | Legacy or cross-module path references | No absolute tables/reports literals in script; verify run_dir outputs
leaveOneOutPredict,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
locate_relaxation_raw_runs,YES,NO,NO,UNKNOWN,Cannot replay with TRUSTED_CANONICAL Switching inputs only | No absolute tables/reports literals in script; verify run_dir outputs
pearsonCorrelation,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
phi1_phi2_driver_helpers,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
phi2_deformation_helpers,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
phi2_shape_helpers,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
relImprovement,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
run_aging_collapse_kappa1_kappa2,YES,NO,NO,UNKNOWN,Cannot replay with TRUSTED_CANONICAL Switching inputs only | No absolute tables/reports literals in script; verify run_dir outputs
run_aging_kappa_comparison,YES,NO,NO,UNKNOWN,Cannot replay with TRUSTED_CANONICAL Switching inputs only | No absolute tables/reports literals in script; verify run_dir outputs
run_aging_nonlinear_law_test,YES,NO,NO,UNKNOWN,Cannot replay with TRUSTED_CANONICAL Switching inputs only | No absolute tables/reports literals in script; verify run_dir outputs
run_alpha_observable_search,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
run_alpha_physical_validity_test,YES,YES,NO,YES,Cannot replay with TRUSTED_CANONICAL Switching inputs only | Legacy or cross-module path references | Hardcoded repo tables/reports outputs missing
run_asymmetric_spread_analysis,NO,NO,NO,UNKNOWN,No absolute tables/reports literals in script; verify run_dir outputs
run_build_relaxation_dataset,YES,NO,NO,UNKNOWN,Cannot replay with TRUSTED_CANONICAL Switching inputs only | No absolute tables/reports literals in script; verify run_dir outputs
