analysis_id,group_label,artifact_strings_matched
exec_run_switching_canonical_2026_04_02_234844,"reconstruction;phi1;kappa1;validation","switching_canonical_S_long.csv;switching_canonical_phi1.csv;switching_canonical_observables.csv;switching_canonical_validation.csv"
exec_run_switching_canonical_2026_04_03_000008,"reconstruction;phi1;kappa1;validation","switching_canonical_S_long.csv;switching_canonical_phi1.csv;switching_canonical_observables.csv;switching_canonical_validation.csv"
exec_run_switching_canonical_2026_04_03_000147,"reconstruction;phi1;kappa1;validation","switching_canonical_S_long.csv;switching_canonical_phi1.csv;switching_canonical_observables.csv;switching_canonical_validation.csv"
exec_run_switching_canonical_2026_04_03_091018,"reconstruction;phi1;kappa1;validation","switching_canonical_S_long.csv;switching_canonical_phi1.csv;switching_canonical_observables.csv;switching_canonical_validation.csv"
inv_switching_canonical_component_classification,other,switching_canonical_component_classification.csv
inv_switching_canonical_definition_audit,other,switching_canonical_definition_audit.csv
inv_switching_canonical_definition_extraction,other,switching_canonical_definition_extraction.csv
inv_switching_canonical_robustness_contract,robustness,switching_canonical_robustness_contract.csv
inv_switching_collapse_verification,reconstruction,switching_collapse_verification.csv
inv_switching_core_analysis_coverage,validation,switching_core_analysis_coverage.csv
inv_switching_scaling_canonical_test,other,switching_scaling_canonical_test.csv;switching_scaling_metrics_summary.csv
inv_switching_layer1_robustness_reconciliation,robustness,switching_layer1_robustness_reconciliation.csv
inv_switching_parameter_robustness_update_audit,robustness,switching_parameter_robustness_update_audit.csv
inv_switching_replay_plan,other,switching_replay_plan.csv
inv_switching_replay_reconciliation,other,switching_replay_reconciliation.csv
inv_switching_robustness_definition_recovery,robustness,switching_robustness_definition_recovery.csv
inv_switching_robustness_execution_trace,robustness,switching_robustness_execution_trace.csv
inv_switching_robustness_rerun_readiness,robustness,switching_robustness_rerun_readiness.csv
inv_switching_robustness_root_validation,robustness,switching_robustness_root_validation.csv
inv_switching_robustness_unblock_plan,robustness,switching_robustness_unblock_plan.csv
inv_switching_canonical_boundary_definition,validation,switching_canonical_boundary_and_runs.csv
inv_switching_collapse_interpretation,reconstruction,switching_collapse_status.csv
inv_switching_layer1_robustness_audit,robustness,switching_layer1_robustness_evidence.csv;switching_layer1_robustness_verdicts.csv
inv_ver12_canonical_audit,other,ver12_canonical_audit.csv
inv_phase1_execution_audit,validation,phase1_execution_audit.csv
inv_switching_canonical_entrypoint_audit,validation,switching_canonical_entrypoint.csv
