stage,substage,status,evidence,notes
A_canonical_object_definition,S_I_T,COMPLETE,"docs/switching_canonical_definition.md; tables/switching_canonical_definition_extraction.csv; tables/switching_canonical_definition_audit.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_S_long.csv","Smap/S_percent on T_K x current_mA grid; change_pct lineage per audit extraction."
A_canonical_object_definition,S_CDF,COMPLETE,"docs/switching_canonical_definition.md; tables/switching_canonical_definition_extraction.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_S_long.csv","Scdf from PT CDF construction; S_model_pt_percent column."
A_canonical_object_definition,DeltaS,COMPLETE,"docs/switching_canonical_definition.md; tables/switching_canonical_definition_extraction.csv; tables/switching_collapse_verification.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_S_long.csv","Residual Smap-Scdf; residual_percent in S_long."
A_canonical_object_definition,DeltaS_norm,PARTIAL,"docs/switching_canonical_definition.md; tables/switching_canonical_definition_extraction.csv","No separate exported column named DeltaS_norm; residual_percent gives percent-scale residual; Phi1 max-abs normalization is distinct object."
A_canonical_object_definition,Phi1,COMPLETE,"docs/switching_canonical_definition.md; tables/switching_canonical_definition_extraction.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_phi1.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_validation.csv","SVD mode V(:,1) with scaling/sign; PHI_SHAPE_STABLE and PHI_MEDIAN_COSINE in validation."
A_canonical_object_definition,kappa1,COMPLETE,"docs/switching_canonical_definition.md; tables/switching_canonical_definition_extraction.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_observables.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_validation.csv","kappa1 column; KAPPA_SPEAK_CORR and KAPPA_SCALING_REASONABLE in validation."
B_core_reconstruction,PT_only_reconstruction,COMPLETE,"results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_validation.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_S_long.csv; tables/switching_core_analysis_coverage.csv","RMSE_PT; S_model_pt_percent vs S_percent."
B_core_reconstruction,PT_plus_kappa1_Phi1_reconstruction,COMPLETE,"results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_validation.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_S_long.csv; tables/switching_canonical_definition_extraction.csv","RMSE_FULL; S_model_full_percent; Sfull=Scdf+kappa1*phi1 extraction checksums in tables/switching_canonical_definition_extraction.csv."
B_core_reconstruction,RMSE_map_level_evaluation,COMPLETE,"results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_validation.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_observables.csv","Global RMSE_PT/RMSE_FULL; per-T rmse_pt_row and rmse_full_row."
C_Phi1_basic_validation,dominance_rank1,COMPLETE,"tables/switching_canonical_definition_extraction.csv; Switching canonical validation row","Explicit rank-1 SVD; single Phi1 mode exported."
C_Phi1_basic_validation,stability,COMPLETE,"results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_validation.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_observables.csv","PHI_SHAPE_STABLE; PHI_MEDIAN_COSINE; phi_cosine_row per T."
C_Phi1_basic_validation,irreducibility_tests,UNKNOWN,"tables/switching_run_trust_classification.csv; tables/switching_analysis_canonical_status.csv","No TRUSTED_CANONICAL run-backed rank-2 or irreducibility artifact located under results/switching/runs; run_residual_rank2_audit listed PARTIAL without canonical output match in switching_analysis_canonical_status.csv."
D_Kappa1_analysis,observable_mapping,COMPLETE,"results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_observables.csv; tables/kappa1_vs_temperature.csv","kappa1 per T_K in observables; kappa1_vs_temperature.csv present (numeric alignment with canonical kappa1 not independently proven in file header)."
D_Kappa1_analysis,relation_to_S_peak_PT_features,COMPLETE,"results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_validation.csv; results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_observables.csv; tables/kappa1_control_analysis.csv","KAPPA_SPEAK_CORR; I_peak and S_peak columns; kappa1 vs S_peak/I_peak correlations table."
D_Kappa1_analysis,simplified_model_attempts,PARTIAL,"tables/kappa1_control_analysis.csv; tables_old/parameter_robustness_stage1_canonical_summary.csv; tables/switching_layer1_robustness_reconciliation.csv","kappa1_control_analysis gives correlation structure; stage1 tables_old present; cited alignment runs MISSING per reconciliation—cannot mark COMPLETE as fully run-backed chain."
E_Robustness_bottom_integrity,windowing_sensitivity,UNKNOWN,"tables/switching_layer1_robustness_verdicts.csv","No YES verdict; PARAMETER_STABILITY and MAP_STABILITY marked NO; no trusted sweep artifact cited."
E_Robustness_bottom_integrity,normalization_sensitivity,PARTIAL,"reports/switching_measurement_robustness_report.md; reports/switching_intra_measurement_robustness_report.md; tables/switching_layer1_robustness_reconciliation.csv","MEASUREMENT_STABILITY PARTIAL in switching_layer1_robustness_verdicts.csv; cited run dirs MISSING for cited measurement robustness runs."
E_Robustness_bottom_integrity,baseline_handling,PARTIAL,"reports/switching_raw_baseline_correction_report.md; tables/switching_layer1_robustness_reconciliation.csv","Report exists; cited run directories MISSING per reconciliation CSV."
E_Robustness_bottom_integrity,observable_definition_variation,PARTIAL,"tables_old/map_pair_metrics.csv; reports/switching_layer1_robustness_definition.md","Map-pair metrics table exists; not shown as paired ver12 re-ingest matrix; reconciliation notes path/caveats."
