"analysis_id","file_path","type","run_id","system_status","duplicate_group_id","has_artifacts","notes"
"entity_001","Switching/analysis/analyze_phi_kappa_canonical_space.m","script","","UNKNOWN","","NO",""
"entity_002","Switching/analysis/checkNoDuplicateTemps.m","script","","UNKNOWN","","NO",""
"entity_003","Switching/analysis/computeMetrics.m","script","","UNKNOWN","","NO",""
"entity_004","Switching/analysis/debug_fix_o2_pipeline.m","script","","UNKNOWN","","NO",""
"entity_005","Switching/analysis/ensureDir.m","script","","UNKNOWN","","NO",""
"entity_006","Switching/analysis/experimental/run_switching_physical_baseline_model.m","script","","NONCANONICAL_LEGACY","","NO",""
"entity_007","Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m","script","","NONCANONICAL_LEGACY","","NO",""
"entity_008","Switching/analysis/find_relaxation_time_series.m","script","","UNKNOWN","","NO",""
"entity_009","Switching/analysis/formatNum.m","script","","UNKNOWN","","NO",""
"entity_010","Switching/analysis/getVarByCandidates.m","script","","UNKNOWN","","NO",""
"entity_011","Switching/analysis/inspect_relaxation_data_structure.m","script","","UNKNOWN","","NO",""
"entity_012","Switching/analysis/leaveOneOutPredict.m","script","","UNKNOWN","","NO",""
"entity_013","Switching/analysis/locate_relaxation_raw_runs.m","script","","UNKNOWN","","NO",""
"entity_014","Switching/analysis/pearsonCorrelation.m","script","","UNKNOWN","","NO",""
"entity_015","Switching/analysis/phi1_phi2_driver_helpers.m","script","","UNKNOWN","","NO",""
"entity_016","Switching/analysis/phi2_deformation_helpers.m","script","","UNKNOWN","","NO",""
"entity_017","Switching/analysis/phi2_shape_helpers.m","script","","UNKNOWN","","NO",""
"entity_018","Switching/analysis/relImprovement.m","script","","UNKNOWN","","NO",""
"entity_019","Switching/analysis/run_aging_collapse_kappa1_kappa2.m","script","","UNKNOWN","","NO",""
"entity_020","Switching/analysis/run_aging_kappa_comparison.m","script","","UNKNOWN","","NO",""
"entity_021","Switching/analysis/run_aging_nonlinear_law_test.m","script","","UNKNOWN","","NO",""
"entity_022","Switching/analysis/run_alpha_observable_search.m","script","","UNKNOWN","","NO",""
"entity_023","Switching/analysis/run_alpha_physical_validity_test.m","script","","UNKNOWN","","NO",""
"entity_024","Switching/analysis/run_asymmetric_spread_analysis.m","script","","UNKNOWN","","NO",""
"entity_025","Switching/analysis/run_build_relaxation_dataset.m","script","","UNKNOWN","","NO",""
"entity_026","Switching/analysis/run_build_relaxation_dataset_from_pipeline.m","script","","UNKNOWN","","NO",""
"entity_027","Switching/analysis/run_collapse_failure_mode_test.m","script","","UNKNOWN","","NO",""
"entity_028","Switching/analysis/run_extract_tau_from_relaxation.m","script","","UNKNOWN","","NO",""
"entity_029","Switching/analysis/run_kappa2_kww_shape_test.m","script","","UNKNOWN","","NO",""
"entity_030","Switching/analysis/run_kappa2_opening_test.m","script","","UNKNOWN","","NO",""
"entity_031","Switching/analysis/run_kappa2_operational_signature_test.m","script","","UNKNOWN","","NO",""
"entity_032","Switching/analysis/run_kappa2_physical_necessity.m","script","","UNKNOWN","","NO",""
"entity_033","Switching/analysis/run_minimal_canonical.m","script","","NONCANONICAL_LEGACY","","YES",""
"entity_034","Switching/analysis/run_parameter_robustness_switching_canonical.m","script","","UNKNOWN","","NO",""
"entity_035","Switching/analysis/run_phi_asymmetry_link.m","script","","UNKNOWN","","NO",""
"entity_036","Switching/analysis/run_phi_even_deformation_test.m","script","","UNKNOWN","","NO",""
"entity_037","Switching/analysis/run_phi_physical_identification.m","script","","UNKNOWN","","NO",""
"entity_038","Switching/analysis/run_phi_physical_structure_test.m","script","","UNKNOWN","","NO",""
"entity_039","Switching/analysis/run_phi_pt_independence_test.m","script","","UNKNOWN","","NO",""
"entity_040","Switching/analysis/run_phi_pt_restricted_deformation.m","script","","UNKNOWN","","NO",""
"entity_041","Switching/analysis/run_phi_pt_restricted_deformation_5_1.m","script","","UNKNOWN","","NO",""
"entity_042","Switching/analysis/run_phi_pt_restricted_deformation_stable.m","script","","UNKNOWN","","NO",""
"entity_043","Switching/analysis/run_phi_temperature_derivative_test.m","script","","UNKNOWN","","NO",""
"entity_044","Switching/analysis/run_phi1_observable_phi2_driver_test.m","script","","UNKNOWN","","NO",""
"entity_045","Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","script","","UNKNOWN","","NO",""
"entity_046","Switching/analysis/run_phi1_phi2_observable_closure_test.m","script","","UNKNOWN","","NO",""
"entity_047","Switching/analysis/run_phi2_deformation_structure_test.m","script","","UNKNOWN","","NO",""
"entity_048","Switching/analysis/run_phi2_extended_deformation_basis_test.m","script","","UNKNOWN","","NO",""
"entity_049","Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","script","","UNKNOWN","","NO",""
"entity_050","Switching/analysis/run_phi2_second_order_deformation_test.m","script","","UNKNOWN","","NO",""
"entity_051","Switching/analysis/run_phi2_shape_physics_test.m","script","","UNKNOWN","","NO",""
