entity,type,path,used_by_canonical,run_backed,artifact_complete,classification,reason,action
run_switching_canonical.m,script,Switching/analysis/run_switching_canonical.m,YES,NO,YES,CANONICAL_CORE,"Approved Switching canonical analysis entrypoint per repo_execution_rules; defines Smap PT SVD outputs.",KEEP
analyze_phi_kappa_canonical_space.m,script,Switching/analysis/analyze_phi_kappa_canonical_space.m,NO,NO,YES,CANONICAL_CORE,"Switching-only canonical-space analysis; not invoked by run_switching_canonical.",REFERENCE
run_minimal_canonical.m,script,Switching/analysis/run_minimal_canonical.m,NO,NO,YES,CANONICAL_SUBSTRATE,"Infra/pilot script; not the switching_canonical pipeline.",REFERENCE
run_parameter_robustness_switching_canonical.m,script,Switching/analysis/run_parameter_robustness_switching_canonical.m,NO,NO,YES,LEGACY_HARMLESS,"Robustness study; reads hardcoded results paths; not canonical entrypoint.",REFERENCE
Switching_analysis_other_scripts,aggregate,Switching/analysis/*.m (excluding listed),NO,VARIES,UNKNOWN,LEGACY_HARMLESS,"103 analysis files; individual roles vary; not loaded unless task-specific.",REFERENCE
Switching_utils,tree,Switching/utils/,YES,NO,YES,CANONICAL_SUBSTRATE,"On path for canonical script; helpers for maps/shapes.",KEEP
Switching_ver12,tree,Switching ver12/,YES,NO,YES,CANONICAL_SUBSTRATE,"Raw-to-metric engine; Switching_main.m embeds external raw dir string.",KEEP
General_ver2,tree,General ver2/,YES,NO,YES,LEGACY_HARMLESS,"Optional presets on canonical path.",KEEP
createRunContext_host,utility,Aging/utils/createRunContext.m,YES,NO,YES,LEGACY_HARMLESS,"Technical run identity only; not Aging science.",REFERENCE
tools_run_matlab_safe_bat,tool,tools/run_matlab_safe.bat,YES,YES,YES,CANONICAL_CORE,"Single approved wrapper for automated MATLAB per repo_execution_rules.",KEEP
docs_repo_execution_rules,doc,docs/repo_execution_rules.md,NO,NO,YES,CANONICAL_CORE,"Normative execution and guardrails.",REFERENCE
tables_switching_canonical_dependencies,table,tables/switching_canonical_dependencies.csv,NO,NO,YES,CANONICAL_CORE,"Phase 2 dependency classification artifact.",REFERENCE
tables_switching_canonical_definition_audit,table,tables/switching_canonical_definition_audit.csv,NO,NO,YES,CANONICAL_CORE,"Phase 2 definition audit.",REFERENCE
tables_switching_canonical_component_classification,table,tables/switching_canonical_component_classification.csv,NO,NO,YES,CANONICAL_CORE,"Component classification.",REFERENCE
tables_switching_canonical_core_vs_substrate,table,tables/switching_canonical_core_vs_substrate.csv,NO,NO,YES,CANONICAL_CORE,"Core vs substrate layer table.",REFERENCE
tables_switching_layer1_robustness_definition,table,tables/switching_layer1_robustness_status.csv,NO,NO,YES,CANONICAL_CORE,"Layer 1 robustness status row.",REFERENCE
tables_switching_layer1_reconciliation,table,tables/switching_layer1_robustness_reconciliation.csv,NO,NO,YES,CANONICAL_CORE,"Evidence chain reconciliation.",REFERENCE
tables_old_parameter_robustness_switching,aggregate,tables_old/parameter_robustness_stage1*.csv,NO,YES,YES,LEGACY_HARMLESS,"Historical parameter robustness numerics; cited runs often missing from results tree.",REFERENCE
tables_old_map_pair_metrics,table,tables_old/map_pair_metrics.csv,NO,YES,YES,LEGACY_HARMLESS,"Historical map pair metrics; path drift from reports/map_rmse_closure_summary.md.",REFERENCE
reports_switching_canonical_definition_audit,report,reports/switching_canonical_definition_audit.md,NO,NO,YES,CANONICAL_CORE,"Read-only Switching definition audit.",REFERENCE
reports_switching_layer1_robustness_definition,report,reports/switching_layer1_robustness_definition.md,NO,NO,YES,CANONICAL_CORE,"Canonical Layer 1 robustness definition.",REFERENCE
reports_ver12_canonical_audit,report,reports/ver12_canonical_audit.md,NO,NO,YES,CANONICAL_SUBSTRATE,"Static ver12 code-path audit.",REFERENCE
run_2026_04_03_000147_switching_canonical,run_dir,results/switching/runs/run_2026_04_03_000147_switching_canonical/,YES,YES,YES,CANONICAL_CORE,"Full switching_canonical outputs; execution_status WRITE_SUCCESS=YES; switching_canonical_*.csv present per inspection.",KEEP
run_2026_04_03_000008_switching_canonical,run_dir,results/switching/runs/run_2026_04_03_000008_switching_canonical/,YES,YES,YES,CANONICAL_CORE,"Same class as row above.",KEEP
run_2026_04_02_234844_switching_canonical,run_dir,results/switching/runs/run_2026_04_02_234844_switching_canonical/,YES,YES,YES,CANONICAL_CORE,"Same class.",KEEP
run_2026_04_02_213408_phi_kappa_canonical_space_analysis,run_dir,results/switching/runs/run_2026_04_02_213408_phi_kappa_canonical_space_analysis/,NO,YES,NO,NONCANONICAL_RISK,"No execution_status.csv in directory listing; phase1_artifact_fix_audit.csv flags missing signaling artifact.",EXCLUDE
run_2026_04_02_213133_minimal_canonical,run_dir,results/switching/runs/run_2026_04_02_213133_minimal_canonical/,NO,YES,PARTIAL,CANONICAL_SUBSTRATE,"execution_status.csv present with minimal schema; not switching_canonical science outputs.",REFERENCE
external_raw_parentDir,path_dependency,L: (from Switching ver12/main/Switching_main.m via canonical run reports),YES,YES,YES,NONCANONICAL_RISK,"Machine-specific raw data path; cited in run_switching_canonical_report.md for successful runs.",REFERENCE
