path,exists,git_status_if_observed,artifact_type,conceptual_group,namespace_if_any,likely_role,source_of_truth_level,notes
docs/switching_analysis_map.md,YES,,doc,governance/naming/source-of-truth,multiple,Narrative and technical namespace map,PRIMARY_HUB,Cites many downstream tables/reports
docs/switching_governance_persistence_manifest.md,YES,,doc,governance/naming/source-of-truth,CORRECTED_CANONICAL_OLD_ANALYSIS etc.,Durable anti-confusion manifest,PRIMARY_HUB,Lists pointer chain to current_state and quarantine
docs/switching_canonical_reality.md,YES,,doc,governance/naming/source-of-truth,survey_flags,Factual lock from survey tables,SECONDARY_LOCK,Documents CANONICAL_S_OBJECT_EXISTS style flags
docs/switching_canonical_definition.md,YES,,doc,governance/naming/source-of-truth,deprecated,Banner DEPRECATED v1.2 definition,DEPRECATED_POINTER,Points to canonical/xy_switching not found in workspace
docs/switching_canonical_direction.md,YES,,doc,governance/naming/source-of-truth,,Strategic direction narrative,SUPPORTING_DOC,
docs/switching_pre_replay_contract_reset.md,YES,,doc,canonical replay,,Pre-replay contract,SUPPORTING_DOC,
docs/switching_system_alignment.md,YES,,doc,governance/naming/source-of-truth,,Alignment narrative,SUPPORTING_DOC,
docs/switching_backend_definition.md,YES,,doc,canonical generation/decomposition,,Backend scope for canonical run,SUPPORTING_DOC,Cited from canonical definition (deprecated)
docs/switching_physics_audit_spec.md,YES,,doc,validation/status/manifest/fingerprint,,Physics audit specification,SUPPORTING_DOC,
docs/switching_artifact_policy.md,YES,,doc,governance/naming/source-of-truth,,Artifact policy,SUPPORTING_DOC,
docs/switching_layer_boundary.md,YES,,doc,governance/naming/source-of-truth,,Layer boundary,SUPPORTING_DOC,
docs/switching_dependency_boundary.md,YES,,doc,governance/naming/source-of-truth,,Cross-module dependency rules,SUPPORTING_DOC,
docs/switching_phi1_terminology_contract.md,YES,,doc,governance/naming/source-of-truth,"Phi1_corrected_old vs diagnostic",Phi1 naming contract,PRIMARY_HUB,Blocks ambiguous Phi1_canon phrasing
docs/decisions/switching_main_narrative_namespace_decision.md,YES,,doc,governance/naming/source-of-truth,CORRECTED_CANONICAL_OLD_ANALYSIS,Adopted manuscript namespace decision,PRIMARY_HUB,
docs/templates/switching_analysis_namespace_header.md,YES,,doc,governance/naming/source-of-truth,,Script header template,REGISTRY,
docs/observables/switching_observables.md,YES,,doc,X_eff / effective observables,,Observable registry slice,SUPPORTING_DOC,
docs/cross_module_switching_relaxation_canonical_placement_contract.md,YES,??,doc,governance/naming/source-of-truth,CM-SW-RLX,Untracked draft from git snapshot,Draft_UNTRACKED,Out of strict Switching-only scope boundary
docs/cross_module_switching_relaxation_global_closure_08.md,YES,??,doc,governance/naming/source-of-truth,CM-SW-RLX,Untracked draft,Draft_UNTRACKED,
docs/cross_module_switching_relaxation_index_draft.md,YES,??,doc,governance/naming/source-of-truth,CM-SW-RLX,Untracked draft,Draft_UNTRACKED,
reports/switching_corrected_canonical_current_state.md,YES,,report,governance/naming/source-of-truth,read_first,Current state entry per manifest,PRIMARY_HUB,Cited from run_switching_canonical.m header
reports/switching_quarantine_index.md,YES,,report,legacy quarantine,QUARANTINED_MISLEADING,Quarantine visibility index,QUARANTINE_INDEX,
reports/switching_stale_governance_supersession.md,YES,,report,governance/naming/source-of-truth,,Supersedes stale governance wording,SECONDARY_LOCK,
reports/switching_backbone_decomposition_simple_map.md,YES,,report,canonical generation/decomposition,OLD vs CANON,Consolidated backbone map narrative,SUPPORTING_DOC,
reports/switching_corrected_old_authoritative_artifact_index.md,YES,,report,old/corrected-old reconstruction,CORRECTED_CANONICAL_OLD_ANALYSIS,Human-readable index companion,SUPPORTING_DOC,Pairs with tables CSV
reports/switching_canonical_system_survey_A_map.md,YES,,report,validation/status/manifest/fingerprint,,This survey map output,SURVEY_OUTPUT,Written by SW-CANON-SURVEY-A
tables/switching_canonical_system_survey_A_inventory.csv,YES,,table,validation/status/manifest/fingerprint,,Survey inventory,SURVEY_OUTPUT,
tables/switching_canonical_system_survey_A_groups.csv,YES,,table,validation/status/manifest/fingerprint,,Survey group rollup,SURVEY_OUTPUT,
tables/switching_canonical_system_survey_A_status.csv,YES,,table,validation/status/manifest/fingerprint,,Survey status keys,SURVEY_OUTPUT,
tables/switching_canonical_entrypoint.csv,YES,,table,governance/naming/source-of-truth,CANON_GEN_SOURCE,Registers canonical MATLAB entrypoint,REGISTRY,Row points to Switching/analysis/run_switching_canonical.m
tables/switching_canonical_entrypoint_candidates.csv,YES,,table,governance/naming/source-of-truth,,Entrypoint candidate ranking,SUPPORTING_TABLE,
tables/switching_analysis_namespace_clean_map.csv,YES,,table,governance/naming/source-of-truth,multiple,Machine-readable namespace superset,PRIMARY_HUB,Cited from switching_analysis_map.md
