issue,category,severity,affected_paths,why_it_matters,recommended_resolution,blocking_or_nonblocking
Deleted_tracked_phase4B_figures_in_working_tree,health_lineage,HIGH,figures/switching/phase4B_C01_X_like_panel_orientation_lock.png;figures/switching/phase4B_C02_collapse_like_panel_range_lock.fig;figures/switching/phase4B_C02_collapse_like_panel_range_lock.png,Breaks_clone_only_visual_reproduction_and_audits_expecting_committed_binaries,Restore_from_last_good_commit_or_regenerate_via_locked_scripts_then_intentional_commit,blocking
No_single_Switching_reader_roadmap,navigation,high,docs/ lack switching_README_style hub per Survey C,New_readers_misroute_via_deprecated_or_phase_reports,Add_ordered_index_linking_protocol_map_current_state_quarantine_AX,nonblocking
Deprecated_switching_canonical_definition_vs_narrative_contract,terminology,high,docs/switching_canonical_definition.md;docs/switching_analysis_map.md,Collapses_canonical_decomposition_meanings_illegitimately,Future_approved_banner_body_redirect_editorial_task,nonblocking
Bare_canonical_word_overload,terminology,high,many_run_switching_canonical_*;docs/canonical_switching_system.md,Risk_conflating_protocol_S_CANON_GEN_source_manuscript_backbone,Use_namespace_tokens_in_claims_and_glossary_in_roadmap,nonblocking
switching_canonical_phi1_csv_filename_vs_Phi1_corrected_old,terminology,high,switching_canonical_phi1.csv_results_paths;docs/switching_phi1_terminology_contract.md,Grep_and_caption_errors_assign_wrong_authority,Always_pair_with_phi1_contract_safe_sentences,nonblocking
X_eff_not_same_as_X_canon,terminology,medium_high,docs/cross_module_switching_relaxation_AX_index.md;docs/switching_artifact_policy.md,Forbidden_replacement_and_scaling_claim_risk,Switching_facing_one_liner_cross_link,nonblocking
Large_untracked_Switching_script_surface,provenance,medium,Switching/analysis/run_switching_canonical_state_audit.m;scripts/run_switching_*.m_untracked,Collaborators_miss_entrypoints_and_review_surface,Track_or_document_per_maintenance_policy,nonblocking
Empty_Switching_validation_directory_name,expectations,medium,Switching/validation/,Auditors_expect_test_package,README_or_thin_checks_or_explicit_absence_statement,nonblocking
LEGACY_NOTE_framing_vs_canonical_contracts,messaging,low,Switching/LEGACY_NOTE.md;docs/switching_analysis_map.md,Implies_whole_module_legacy_only,One_line_pointer_to_current_state,nonblocking
LEGACY_AX_FUNCTIONAL_blocked_missing_outputs,cross_module,high,docs/cross_module_switching_relaxation_AX_index.md,Blocks_some_AX_evidence_families_in_typical_checkout,Restore_outputs_or_refresh_index_status_explicitly,blocking_for_that_AX_family_not_all_Switching
TASK_002B_and_authoritative_Phi2_kappa2_open,reconstruction,high,tables/switching_missing_reconstruction_tasks_aligned.csv;artifact_index,Largest_manuscript_adjacent_holes_per_Survey_D,Narrow_reconstruction_agents_when_inputs_ready,blocking_for_specific_manuscript_claims_not_all_usage
Publication_gate_PARTIAL_and_quarantined_figures,publication_integrity,high,builder_status;figures/switching/canonical/switching_corrected_old_*.png;quarantine_index,Non_authoritative_visuals_must_not_support_manuscript,Complete_TASK_009_012_chain_with_gates,blocking_for_full_publication_authorization
Dual_meaning_canonical_replay_vs_figure_replay,navigation,medium,docs/switching_analysis_map.md_B03_B05,Replay_physics_vs_CANON_FIGURE_REPLAY_layout_only,Glossary_one_sentence_in_roadmap,nonblocking
PHI2_KAPPA2_HYBRID_filename_canonical,terminology,high,Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m,Quarantine_and_manuscript_unsafe_without_revalidation,Future_explicitly_approved_rename_or_revalidation_charter_only,nonblocking
run_registry_snapshot_has_entry_sparse,lineage,low,analysis/knowledge/run_registry.csv,One_hop_discoverability_from_registry_alone,Document_pointer_only_or_optional_backfill,nonblocking
Flat_tables_switching_prefix_vs_policy_subdir_text,policy_clarity,low,docs/switching_artifact_policy.md;tables/switching_*.csv,Expectation_mismatch_for_new_contributors,Clarify_accepted_durable_layout_in_policy,nonblocking
