status_key,value,notes
TASK_COMPLETED,YES,Synthesis_E_report_and_four_tables_written
SYNTHESIS_ONLY,YES,No_MATLAB_Python_Node;_no_edits_to_survey_A_D_outputs
MATLAB_RUN,NO,Per_charter
PYTHON_RUN,NO,Per_charter
NODE_RUN,NO,Per_charter
FILES_MODIFIED,YES,Five_new_E_paths_only;_survey_inputs_untouched
ALL_SURVEY_INPUTS_FOUND,YES,All_sixteen_required_A_D_paths_present
OVERALL_STATE_CLASSIFICATION,usable-with-confusion,Primary_label_per_Survey_C;_usable-with-gaps_secondary_per_Survey_B_in_report_body
SOURCE_OF_TRUTH_IDENTIFIED,YES,See_source_of_truth_csv_and_report_section_3
BLOCKING_ISSUES_FOUND,YES,Deleted_tracked_figures;_LEGACY_AX_FUNCTIONAL_blocked;_TASK_002B_Phi2_kappa2_and_publication_chain_open_per_D
CLARITY_GAPS_FOUND,YES,Roadmap_missing;_deprecated_definition_hazard;_phase_ID_scatter_per_C
GOVERNANCE_GAPS_FOUND,YES,Survey_B_gap_register_including_validation_folder_expectation_and_untracked_surface
OLD_ANALYSIS_REMAINING_WORK_CREATED,YES,Covered_via_Survey_D_remaining_work_synthesized_into_action_plan
IMMEDIATE_ACTION_PLAN_CREATED,YES,action_plan_csv_stage_immediate_housekeeping
CENTRAL_INDEX_RECOMMENDED,YES,Roadmap_stage_in_action_plan_and_report_section_11
SAFE_TO_STAGE_SYNTHESIS_OUTPUTS,YES,When_git_diff_cached_empty;_stage_only_five_E_paths
SAFE_TO_COMMIT_SYNTHESIS_OUTPUTS,CONDITIONAL,Content_safe;_isolate_commit_from_unrelated_dirty_tree_changes
SAFE_TO_STAGE_SURVEY_A_TO_D_OUTPUTS,YES,When_git_diff_cached_empty;_stage_only_twelve_survey_paths
SAFE_TO_COMMIT_SURVEY_A_TO_D_OUTPUTS,CONDITIONAL,Same_as_E;_scoped_commit_recommended
