T_K,current_mA,x_aligned,DeltaS
4,15,-0.93135451543953,0.0010248
4,20,-0.698515886579647,-0.0819766012218295
4,25,-0.465677257719765,-0.0572934871614694
4,30,-0.232838628859882,-0.00566347751221269
4,35,0,0.0457093008795984
4,45,0.465677257719765,-0.08075
6,15,-0.944849154832431,-0.0010951
6,20,-0.708636866124323,-0.0827170002330515
6,25,-0.472424577416215,-0.056652618451677
6,30,-0.236212288708108,-0.00406978487124515
6,35,0,0.0415394298044674
6,45,0.472424577416215,-0.09657
8,15,-0.993754254510402,0.00088644
8,20,-0.745315690882802,-0.0850275349731683
8,25,-0.496877127255201,-0.0549022384709127
8,30,-0.248438563627601,-0.00475083060740172
8,35,0,0.0339981213520621
8,45,0.496877127255201,-0.12422
10,15,-1.05831864916208,0.0010459
10,20,-0.793738986871557,-0.0751292318110243
10,25,-0.529159324581038,-0.0529062028160819
10,30,-0.264579662290519,-0.00844293105868565
10,35,0,0.0272192471578772
10,45,0.529159324581038,-0.12649
12,15,-1.14225664222237,-0.001364
12,20,-0.856692481666781,-0.0645961449218555
12,25,-0.571128321111187,-0.0558402026673947
12,30,-0.285564160555594,-0.0231359615598137
12,35,0,0.024824756780791
12,45,0.571128321111187,-0.11827
14,15,-1.21041196371185,-0.0019727
14,20,-0.907808972783887,-0.0512589743541518
14,25,-0.605205981855925,-0.0509628175611756
14,30,-0.302602990927962,-0.0249073341387577
14,35,0,0.0216320794381681
14,45,0.605205981855925,-0.102979
16,15,-1.30226985635963,0.00087027
16,20,-0.976702392269726,-0.0413638646993323
16,25,-0.651134928179817,-0.045153297453614
16,30,-0.325567464089909,-0.0283653660955007
16,35,0,0.0177547315547108
16,45,0.651134928179817,-0.095292
18,15,-1.37686048272729,-0.00079792
18,20,-1.03264536204546,-0.0367226316711
18,25,-0.688430241363643,-0.0442372208497671
18,30,-0.344215120681821,-0.0284325108182754
18,35,0,0.0141783565699493
18,45,0.688430241363643,-0.09162
20,15,-1.32684065970518,0.0011364
20,20,-0.995130494778882,-0.0312519111657549
20,25,-0.663420329852588,-0.0362991756225259
20,30,-0.331710164926294,-0.0179572438573416
20,35,0,0.0098633469688594
20,45,0.663420329852588,-0.081276
22,15,-0.87139894386448,-0.0010302
22,20,-0.580932629242987,-0.0249378179399463
22,25,-0.290466314621493,-0.0214530037286097
22,30,0,0.00720917894300158
22,35,0.290466314621493,0.00139346053940638
22,45,0.87139894386448,-0.059084
24,15,-1.19990400767939,-0.0011614
24,20,-0.799936005119591,-0.0380891357
24,25,-0.399968002559795,-0.031355479025
24,30,0,0.00291014254999999
24,35,0.399968002559795,-0.038502
24,45,1.19990400767939,-0.07942
26,15,-1.14502942725628,0.0044561
26,20,-0.763352951504187,-0.0301425
26,25,-0.381676475752094,-0.00383799999999999
26,30,0,0
26,35,0.381676475752094,-0.041355
26,45,1.14502942725628,-0.0661714
28,15,-0.973302317432818,0.014932
28,20,-0.486651158716409,-0.01782725
28,25,0,0
28,30,0.486651158716409,-0.0418
28,35,0.973302317432818,-0.063162
28,45,1.94660463486564,-0.0786333
30,15,-0.574501332843092,0.038026
30,20,0,0.0219775
30,25,0.574501332843092,-0.051141
30,30,1.14900266568618,-0.070274
30,35,1.72350399852928,-0.0824143
30,45,2.87250666421546,-0.0857471
