key,value
FULL_INTEGRITY_CLARITY_AUDIT_COMPLETE,YES
SWITCHING_ONLY,YES
READ_ONLY_AUDIT,YES
NO_PHYSICS_LOGIC_CHANGED,YES
NO_AUTHORITATIVE_OUTPUTS_MODIFIED,YES
NO_FIGURES_REGENERATED,YES
CURRENT_STATE_ENTRYPOINT_CLEAR,YES
CORRECTED_OLD_AUTHORITATIVE_PATH_CLEAR,YES
CANONICAL_MODULE_CLEAR,PARTIAL
CANONICAL_SOURCE_VIEW_SAFE,YES
CANONICAL_DIAGNOSTICS_ISOLATED,PARTIAL
EXPERIMENTAL_PTCDF_FULLY_QUARANTINED,PARTIAL
PTCDF_ARTIFACTS_BLOCKED_AS_MANUSCRIPT_EVIDENCE,YES
PTCDF_ARTIFACTS_BLOCKED_AS_CORRECTED_OLD_EVIDENCE,YES
INPUT_CONTAMINATION_FOUND,NO
MIXED_CANONICAL_DIAGNOSTIC_USED_AS_EVIDENCE,NO
QUARANTINED_ARTIFACT_USED_AS_EVIDENCE,NO
LEGACY_PT_SOURCE_VERIFIED,YES
S_PERCENT_SOURCE_VERIFIED,YES
EFFECTIVE_OBSERVABLES_LOCK_VERIFIED,YES
WIDTH_USED_AS_ALIGNMENT_ONLY,YES
FORMULA_NUMERIC_CHECKS_PASS,YES
ARTIFACT_LINEAGE_COMPLETE,PARTIAL
ALL_MAJOR_ARTIFACTS_COMMITTED_OR_TRACKED,NO
STATUS_GATES_CONSISTENT,PARTIAL
TASK002A_COMPLETE_AND_INDEXED,YES
TASK002B_NOT_STARTED_AND_NOT_CONFLATED,YES
PUBLICATION_FIGURES_REMAIN_BLOCKED,YES
BLOCKING_RISKS_FOUND,YES
SAFE_TO_CONTINUE_WITHOUT_MORE_GOVERNANCE,PARTIAL
SAFE_TO_PROCEED_TO_TASK002B_BACKBONE_PARITY,PARTIAL
SAFE_TO_WRITE_SCIENTIFIC_INTERPRETATION,PARTIAL
AUDIT_DATE_UTC,2026-04-29
AUDIT_HEAD_COMMIT,72215df
