verdict_key,verdict_value
GAUGE_ATLAS_PREVIEW_COMPLETE,YES
G001_BASELINE_INCLUDED,YES
G254_BEST_INCLUDED,YES
G014_LESS_SMOOTHED_COMPARATOR_INCLUDED,YES
S_AREA_POSITIVE_DOMINATES_TOP15,YES
PREVIEW_FIGURE_WRITTEN,YES
X_EFF_DECOMPOSITION_INCLUDED,YES
X_EFF_G001_COMPUTED,YES
X_EFF_G254_COMPUTED,YES
X_EFF_G014_COMPUTED,YES
X_EFF_PRIMARY_DOMAIN_AXIS_SCALING,YES
X_EFF_LABEL_USED,YES
G254_CANONICAL_COORDINATE_CLAIMED,NO
G014_CANONICAL_COORDINATE_CLAIMED,NO
X_CANON_CLAIMED,NO
UNIQUE_W_CLAIMED,NO
UNIQUE_S0_CLAIMED,NO
SAFE_TO_WRITE_SCALING_CLAIM,NO
CROSS_MODULE_SYNTHESIS_PERFORMED,NO
