"stage","T_K","reason","n_points"
"raw_summary","NaN","raw_rows=108","108"
"byT_counts","4","group_rows","7"
"byT_counts","6","group_rows","7"
"byT_counts","8","group_rows","7"
"byT_counts","10","group_rows","7"
"byT_counts","12","group_rows","7"
"byT_counts","14","group_rows","7"
"byT_counts","16","group_rows","7"
"byT_counts","18","group_rows","7"
"byT_counts","20","group_rows","7"
"byT_counts","22","group_rows","7"
"byT_counts","24","group_rows","7"
"byT_counts","26","group_rows","7"
"byT_counts","28","group_rows","6"
"byT_counts","30","group_rows","6"
"byT_counts","32","group_rows","6"
"byT_counts","34","group_rows","6"
"baseline_summary","NaN","baseline_finite","14"
