"file_path","layer","notes"
"tables/_switching_file_kinds.csv","ROOT_ARTIFACT","Classification helper listing; repo-root artifact."
"tables/agent_runs_log.csv","ROOT_ARTIFACT","Wrapper/agent log artifact; not Switching canonical run data."
"tables/agent_warnings_log.csv","ROOT_ARTIFACT","Wrapper/agent log artifact; not Switching canonical run data."
"tables/execution_reliability_audit.csv","ROOT_ARTIFACT","Repo-root tables/ artifact; outside results/.../run_2026_04_03_000147_switching_canonical/."
"tables/infrastructure_broad_audit.csv","ROOT_ARTIFACT","Infrastructure audit artifact; not Switching canonical run data."
"tables/infrastructure_micro_polish.csv","ROOT_ARTIFACT","Infrastructure audit artifact; not Switching canonical run data."
"tables/infrastructure_patch.csv","ROOT_ARTIFACT","Infrastructure audit artifact; not Switching canonical run data."
"tables/kappa1_control_analysis.csv","ROOT_ARTIFACT","Cross-pipeline numeric table in tables/; not the canonical Switching run tree."
"tables/kappa1_pt_control_analysis.csv","ROOT_ARTIFACT","Repo-root tables/ artifact; outside results/.../run_2026_04_03_000147_switching_canonical/."
"tables/kappa1_vs_temperature.csv","ROOT_ARTIFACT","Cross-pipeline numeric table in tables/; not the canonical Switching run tree."
"tables/out_of_plan_artifacts_registry.csv","ROOT_ARTIFACT","Repo-root tables/ artifact; outside results/.../run_2026_04_03_000147_switching_canonical/."
"tables/out_of_plan_status.csv","ROOT_ARTIFACT","Repo-root tables/ artifact; outside results/.../run_2026_04_03_000147_switching_canonical/."
"tables/phase1_artifact_fix_audit.csv","LEGACY_REFERENCE","Legacy backend or phase-1 migration artifact; reference only for Switching."
"tables/phase1_artifact_fix_status.csv","LEGACY_REFERENCE","Legacy backend or phase-1 migration artifact; reference only for Switching."
"tables/phase1_execution_audit.csv","LEGACY_REFERENCE","Legacy backend or phase-1 migration artifact; reference only for Switching."
"tables/phase1_execution_status.csv","LEGACY_REFERENCE","Legacy backend or phase-1 migration artifact; reference only for Switching."
"tables/phase1_runner_fix_status.csv","LEGACY_REFERENCE","Legacy backend or phase-1 migration artifact; reference only for Switching."
"tables/pre_execution_failure_log.csv","ROOT_ARTIFACT","Wrapper preflight log; not canonical Switching science outputs."
"tables/probe_test.csv","ROOT_ARTIFACT","Probe/infrastructure table."
"tables/run_context_diagnosis.csv","ROOT_ARTIFACT","Run-context diagnostic export; not canonical run-dir truth."
"tables/runtime_classification.csv","ROOT_ARTIFACT","Execution/runtime metadata at repo root; not canonical run outputs."
"tables/runtime_classification_status.csv","ROOT_ARTIFACT","Execution/runtime metadata at repo root; not canonical run outputs."
"tables/runtime_execution_markers_fallback.txt","ROOT_ARTIFACT","Execution/runtime metadata at repo root; not canonical run outputs."
