"order","artifact_path","recommended_command","why_required","safe_to_run","module_scope"
"1","Switching/analysis/run_switching_corrected_old_authoritative_builder.m","git add -f ""Switching/analysis/run_switching_corrected_old_authoritative_builder.m""","Authoritative builder MATLAB driver","YES","SWITCHING_ONLY"
"2","Switching/analysis/run_switching_corrected_old_builder_readiness_check.m","git add -f ""Switching/analysis/run_switching_corrected_old_builder_readiness_check.m""","Builder readiness checks MATLAB","YES","SWITCHING_ONLY"
"3","scripts/run_switching_corrected_old_authoritative_builder.ps1","git add -f ""scripts/run_switching_corrected_old_authoritative_builder.ps1""","Wrapper PS1 for authoritative builder","YES","SWITCHING_ONLY"
"4","scripts/run_switching_corrected_old_builder_readiness_check.ps1","git add -f ""scripts/run_switching_corrected_old_builder_readiness_check.ps1""","Wrapper PS1 for readiness checks","YES","SWITCHING_ONLY"
"5","scripts/run_switching_canonical_output_separation.ps1","git add -f ""scripts/run_switching_canonical_output_separation.ps1""","Splitter producing clean canonical source views","YES","SWITCHING_ONLY"
"6","tables/switching_corrected_old_authoritative_builder_status.csv","git add -f ""tables/switching_corrected_old_authoritative_builder_status.csv""","Authoritative corrected-old numeric or gate CSV","YES","SWITCHING_ONLY"
"7","tables/switching_corrected_old_authoritative_backbone_map.csv","git add -f ""tables/switching_corrected_old_authoritative_backbone_map.csv""","Authoritative corrected-old numeric or gate CSV","YES","SWITCHING_ONLY"
"8","tables/switching_corrected_old_authoritative_residual_map.csv","git add -f ""tables/switching_corrected_old_authoritative_residual_map.csv""","Authoritative corrected-old numeric or gate CSV","YES","SWITCHING_ONLY"
"9","tables/switching_corrected_old_authoritative_phi1.csv","git add -f ""tables/switching_corrected_old_authoritative_phi1.csv""","Authoritative corrected-old numeric or gate CSV","YES","SWITCHING_ONLY"
"10","tables/switching_corrected_old_authoritative_kappa1.csv","git add -f ""tables/switching_corrected_old_authoritative_kappa1.csv""","Authoritative corrected-old numeric or gate CSV","YES","SWITCHING_ONLY"
"11","tables/switching_corrected_old_authoritative_mode1_reconstruction_map.csv","git add -f ""tables/switching_corrected_old_authoritative_mode1_reconstruction_map.csv""","Authoritative corrected-old numeric or gate CSV","YES","SWITCHING_ONLY"
"12","tables/switching_corrected_old_authoritative_residual_after_mode1_map.csv","git add -f ""tables/switching_corrected_old_authoritative_residual_after_mode1_map.csv""","Authoritative corrected-old numeric or gate CSV","YES","SWITCHING_ONLY"
"13","tables/switching_corrected_old_authoritative_quality_metrics.csv","git add -f ""tables/switching_corrected_old_authoritative_quality_metrics.csv""","Authoritative corrected-old numeric or gate CSV","YES","SWITCHING_ONLY"
"14","reports/switching_corrected_canonical_current_state.md","git add -f ""reports/switching_corrected_canonical_current_state.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"15","tables/switching_corrected_old_authoritative_artifact_index.csv","git add -f ""tables/switching_corrected_old_authoritative_artifact_index.csv""","Authoritative corrected-old numeric or gate CSV","YES","SWITCHING_ONLY"
