key,value
PHASE4B_C02B_REVIEW_COMPLETE,YES
PHASE4B_C02B_SAFE_TO_COMMIT,YES
C02B_PATHS_SCOPED,YES
PRIMARY_VARIANT_VERIFIED,YES
G014_VARIANT_VERIFIED,YES
G254_VARIANT_VERIFIED,YES
REFERENCE_GRAPHS_MATCH_VERIFIED,YES
DEFECTS_TABLE_VERIFIED,YES
FIGURES_IN_CANONICAL_DIR_VERIFIED,YES
PNG_AND_FIG_EXIST,YES
PDF_NOT_WRITTEN,YES
NO_FORBIDDEN_CANON_NAMES,YES
NO_PTCDF_DIAGNOSTIC_PROMOTED,YES
NO_SILENT_FAMILY_MIXING,YES
MIXED_S_LONG_DISCLOSED,YES
SAFE_TO_INTERPRET_PHYSICS_NO_VERIFIED,YES
SAFE_TO_USE_AS_QA_EVIDENCE_VERIFIED,YES
NO_BROAD_REPLAY_RUN,YES
NO_RENAME_EXECUTED,YES
NO_RELAXATION_AGING_COMPARISON,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
