key,value
PHASE4B_C02B_COMPLETE,YES
SOURCE_DISCOVERY_COMPLETE,YES
PRIMARY_COLLAPSE_VARIANTS_FOUND,YES
PRIMARY_DEFAULT_VARIANT_FOUND,YES
G014_VARIANT_FOUND,YES
G254_VARIANT_FOUND,YES
S_OVER_SPEAK_VARIANT_FOUND,YES
S_OVER_S0_VARIANT_FOUND,YES
RESIDUAL_DEFECTS_WRITTEN,YES
REFERENCE_GRAPHS_CONFIRMED,YES
FIGURES_WRITTEN_TO_CANONICAL_DIR,YES
PNG_WRITTEN,YES
FIG_WRITTEN_FOR_MAIN_VARIANTS,YES
PDF_WRITTEN,NO
USES_COLLAPSE_CANON_NAME,NO
USES_X_CANON_NAME,NO
BROAD_REPLAY_RUN,NO
RENAME_EXECUTED,NO
RELAXATION_COMPARISON_RUN,NO
AGING_COMPARISON_RUN,NO
SAFE_TO_INTERPRET_PHYSICS,NO
SAFE_TO_USE_AS_QA_EVIDENCE,YES
SAFE_TO_PROCEED_TO_NEXT_SLICE,YES
