artifact_group,path_or_pattern,role_per_K_audit,3295c26_touched,relationship_to_deleted_phase4B_QA,single_label_classification,notes
canonical_paper_export,results/switching/figures/canonical_paper/switching_main_candidate_map_cuts_collapse.png,publication_candidate_main,YES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,Distinct directory and manifest class vs figures/switching/phase4B_*
canonical_paper_export,results/switching/figures/canonical_paper/switching_main_candidate_map_cuts_collapse.pdf,publication_candidate_main,YES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,
canonical_paper_export,results/switching/figures/canonical_paper/switching_supp_Xeff_components.png,publication_candidate_supp,YES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,
canonical_paper_export,results/switching/figures/canonical_paper/switching_supp_Xeff_components.pdf,publication_candidate_supp,YES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,
canonical_paper_register,reports/switching_canonical_paper_figures.md,paper_figure_report,YES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,
canonical_paper_register,tables/switching_canonical_paper_figures_manifest.csv,manifest,YES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,
canonical_paper_script,scripts/run_switching_canonical_paper_figures.ps1,export_driver,YES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,DOES_NOT_AFFECT_DELETED_QA_FIGURES,
phase4B_QA_deleted,figures/switching/phase4B_C01_X_like_panel_orientation_lock.png,governance_QA_inspection,NO,unchanged_still_deleted_worktree,DOES_NOT_AFFECT_DELETED_QA_FIGURES,Not in 3295c26; worktree D per git status
phase4B_QA_deleted,figures/switching/phase4B_C02_collapse_like_panel_range_lock.png,governance_QA_inspection,NO,unchanged_still_deleted_worktree,DOES_NOT_AFFECT_DELETED_QA_FIGURES,Not in 3295c26; worktree D per git status
phase4B_QA_deleted,figures/switching/phase4B_C02_collapse_like_panel_range_lock.fig,governance_QA_interactive,NO,unchanged_still_deleted_worktree,DOES_NOT_AFFECT_DELETED_QA_FIGURES,Not in 3295c26; worktree D per git status
