key,value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
SWITCHING_SCOPE_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
FILES_MODIFIED,YES
STAGED,NO
COMMITTED,NO
PUSHED,NO
COMMIT_3295C26_INSPECTED,YES
CANONICAL_PAPER_EXPORTS_FOUND,YES
DELETED_PHASE4B_FIGURES_STILL_PRESENT,YES
SUPERSEDES_DELETED_QA_FIGURES,NO
BYPASSES_DELETED_QA_FIGURES,NO
DOES_NOT_AFFECT_DELETED_QA_FIGURES,YES
SUPERSEDED_BY_CANONICAL_PAPER_EXPORTS,NO
RESTORE_FROM_GIT_RECOMMENDED,YES
REGENERATE_RECOMMENDED,YES
DELETE_TRACKED_FIGURES_RECOMMENDED,NO
LEAVE_DELETED_TEMPORARILY_RECOMMENDED,YES
SEPARATE_REVIEW_REQUIRED,YES
