verdict_key,value,review_evidence
PHI1_WORDING_REPAIR_PRE_COMMIT_REVIEW_COMPLETE,YES,this_review
OVERALL_VERDICT,PASS,no_blocking_issues
CHECK_01_NO_NUMERIC_OR_SCIENTIFIC_CLAIMS_CHANGED_IN_LISTED_FILES,PASS,three_docs_only_plus10_lines_pointers;_new_files_are_governance_prose_and_registry_rows;_no_edits_to_numeric_phi_csvs
CHECK_02_NO_DUPLICATE_GOVERNANCE_LAYER,PASS,contract_section_1_explicit_supplement_not_replace;_analysis_map_supplement_artifact_index
CHECK_03_PHI1_CANON_AND_CANONICAL_PHI1_BLOCKED_CONSISTENTLY,PASS,contract_sec2;_registry_Phi1_canon_and_canonical_Phi1_BLOCKED;_pointers_and_three_doc_warnings
CHECK_04_SWITCHING_CANONICAL_PHI1_DIAGNOSTIC_CONSISTENT,PASS,contract_3_2_block_quote;_registry_DIAGNOSTIC_ONLY_row;_pointer_diagnostic_only
CHECK_05_CORRECTED_OLD_PHI1_MANUSCRIPT_ALIGNED_CONSISTENT,PASS,contract_3_1_and_table_sec4;_registry_MANUSCRIPT_ALIGNED_SOURCE;_pointer_manuscript_artifact
CHECK_06_RESIDUAL_COLLAPSE_C02_NOT_CONFLATED_WITH_PHI1,PASS,contract_3_4_to_3_7_and_sec5;_registry_ALLOWEd_BUT_NOT_PHI1_rows
CHECK_07_THREE_DOCS_SHORT_POINTERS_ONLY,PASS,git_diff_stat_10_insertions_across_3_files
CHECK_08_STATUS_CSV_SUPPORTS_SAFE_TO_REVIEW_FOR_COMMIT,PASS,wording_repair_status_SAFE_TO_REVIEW_FOR_COMMIT=YES_with_operational_caveat_force_add
REVIEWER_NOTES_OPERATIONAL,force_add_ignored_paths_before_commit,see_report_force_add_list
NO_EDITS_DURING_REVIEW,YES,only_new_review_deliverables_written
NO_MATLAB,YES,
NO_FIGURES,YES,
NO_STAGING,YES,verify_empty_index_at_review_time
NO_COMMIT,YES,
NO_PUSH,YES,
FILES_REVIEWED_LIST,8_paths_per_user_query,
