verdict_key,value,evidence_notes
PHI1_WORDING_REPAIR_COMPLETE,YES,this_task
PHI1_TERMINOLOGY_CONTRACT_WRITTEN,YES,docs/switching_phi1_terminology_contract.md
PHI1_TERMINOLOGY_REGISTRY_WRITTEN,YES,tables/switching_phi1_terminology_registry.csv
PHI1_SOURCE_OF_TRUTH_POINTER_WRITTEN,YES,tables/switching_phi1_source_of_truth_pointer.csv
EXISTING_INFRASTRUCTURE_FOR_PHI1_TERMINOLOGY_FOUND,PARTIAL,artifact_index_forbidden_conflations_separation_contract_analysis_map_no_single_phi1_term_home
REUSE_EXISTING_INFRASTRUCTURE,PARTIAL,extended_via_pointers_only_no_overwriting_authority
NEW_TERMINOLOGY_CONTRACT_NEEDED,YES,no_existing_phi1_only_contract
NEW_REGISTRY_NEEDED,YES,term_centric_distinct_from_artifact_index_rows
NEW_POINTER_TABLE_NEEDED,YES,consolidated_pointer_rows_for_scanners
NO_DUPLICATE_GOVERNANCE_LAYER_CREATED,YES,new_files_are_narrow_supplements_explicitly_non_superseding
DUPLICATION_DECISION_DOCUMENTED,YES,reports/switching_phi1_wording_repair.md
PHI1_CANON_NAME_BLOCKED,YES,registry_and_contract
CANONICAL_PHI1_NAME_BLOCKED,YES,registry_and_contract
CORRECTED_OLD_AUTHORITATIVE_PHI1_IDENTIFIED,YES,tables/switching_corrected_old_authoritative_phi1.csv
DIAGNOSTIC_CANONICAL_RUN_PHI1_IDENTIFIED,YES,switching_canonical_phi1.csv_per_run
SWITCHING_CANONICAL_PHI1_FILENAME_DOCUMENTED_AS_DIAGNOSTIC,YES,contract_registry_pointer_report
SWITCHING_CANONICAL_PHI1_RENAMED,NO,policy_this_task
SWITCHING_CANONICAL_PHI1_MISLEADING_FILENAME_RISK_DOCUMENTED,YES,contract_section_3_2_and_registry_row
NORMALIZATION_SPLIT_DOCUMENTED,YES,contract_section_6
SIGN_CONVENTION_SPLIT_DOCUMENTED,YES,contract_section_6
RESIDUAL_AFTER_MODE1_NOT_PHI1_DOCUMENTED,YES,contract_section_5
DELTAS_AFTER_MODE1_NOT_PHI1_DOCUMENTED,YES,contract_section_3_5
COLLAPSE_DEFECT_NOT_PHI1_DOCUMENTED,YES,contract_sections_3_6_5
PRIMARY_COLLAPSE_NOT_PHI1_DOCUMENTED,YES,contract_section_3_7
C02_C02B_NOT_PHI1_DOCUMENTED,YES,registry_rows_C02_C02B
MODE1_USAGE_DOCUMENTED,YES,contract_section_3_3
KAPPA1_SCALE_CONVENTION_DOCUMENTED,PARTIAL,contract_section_3_10
EXISTING_DOC_POINTERS_UPDATED,YES,switching_analysis_map_artifact_policy_canonical_definition
NUMERIC_TABLES_UNCHANGED,YES,no_csv_numeric_edits
NO_MATLAB_RUN,YES,
NO_FIGURES_GENERATED,YES,
NO_FILES_STAGED,YES,preflight_postflight_empty_index
NO_COMMITS_CREATED,YES,
SAFE_TO_REVIEW_FOR_COMMIT,YES,user_force_add_if_gitignored_paths
SAFE_TO_USE_PHI1_CANON,NO,
SAFE_TO_USE_CANONICAL_PHI1,NO,
SAFE_TO_USE_MANUSCRIPT_ALIGNED_PHI1,YES,when_using_tables/switching_corrected_old_authoritative_phi1.csv_with_namespace
SAFE_TO_CREATE_COMPATIBILITY_ALIAS_LATER,YES,follow_on_task
SAFE_TO_PROCEED_TO_NEXT_SLICE,YES,
