priority,tier_order,analysis_name,source_script,canonical_run_to_use,expected_outputs,risk_level,replay_tier,guard_status
0,6,run_switching_physical_baseline_model,Switching/analysis/experimental/run_switching_physical_baseline_model.m,N/A (requires non-Switching inputs),run-scoped: results/switching/runs/run_2026_04_03_000147_switching_canonical/tables|reports or see_script,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
0,7,run_switching_raw_baseline_correction_and_comparison,Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m,N/A (requires non-Switching inputs),run-scoped: results/switching/runs/run_2026_04_03_000147_switching_canonical/tables|reports or see_script,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
0,8,find_relaxation_time_series,Switching/analysis/find_relaxation_time_series.m,N/A (requires non-Switching inputs),run-scoped: results/switching/runs/run_2026_04_03_000147_switching_canonical/tables|reports or see_script,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
0,11,inspect_relaxation_data_structure,Switching/analysis/inspect_relaxation_data_structure.m,N/A (requires non-Switching inputs),run-scoped: results/switching/runs/run_2026_04_03_000147_switching_canonical/tables|reports or see_script,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
0,13,locate_relaxation_raw_runs,Switching/analysis/locate_relaxation_raw_runs.m,N/A (requires non-Switching inputs),run-scoped: results/switching/runs/run_2026_04_03_000147_switching_canonical/tables|reports or see_script,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
0,19,run_aging_collapse_kappa1_kappa2,Switching/analysis/run_aging_collapse_kappa1_kappa2.m,N/A (requires non-Switching inputs),run-scoped: results/switching/runs/run_2026_04_03_000147_switching_canonical/tables|reports or see_script,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
0,20,run_aging_kappa_comparison,Switching/analysis/run_aging_kappa_comparison.m,N/A (requires non-Switching inputs),run-scoped: results/switching/runs/run_2026_04_03_000147_switching_canonical/tables|reports or see_script,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
0,21,run_aging_nonlinear_law_test,Switching/analysis/run_aging_nonlinear_law_test.m,N/A (requires non-Switching inputs),run-scoped: results/switching/runs/run_2026_04_03_000147_switching_canonical/tables|reports or see_script,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
0,23,run_alpha_physical_validity_test,Switching/analysis/run_alpha_physical_validity_test.m,N/A (requires non-Switching inputs),C:/Dev/matlab-functions/results/aging/runs/run_2026_03_14_074613_aging_clock_ratio_analysis/tables/table_clock_ratio.csv,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
0,25,run_build_relaxation_dataset,Switching/analysis/run_build_relaxation_dataset.m,N/A (requires non-Switching inputs),run-scoped: results/switching/runs/run_2026_04_03_000147_switching_canonical/tables|reports or see_script,HIGH,excluded_cross_module,EXCLUDE_MIXED_MODULE
