component,type,required_for_rerun,blocker_type,dependency_level,resolution_batch,is_root_blocker
allowed_temperature_set,INPUT_FILTER,YES,NONE,DEPENDENT,BATCH_2,NO
boundary_exclusions,INPUT_FILTER,YES,missing_filter,DEPENDENT,BATCH_1,NO
high_temperature_exclusion_rule,INPUT_FILTER,YES,missing_filter,DEPENDENT,BATCH_1,NO
transition_band_handling,INPUT_FILTER,YES,NONE,DEPENDENT,BATCH_3,NO
allowed_parameter_perturbations,PARAMETER,YES,missing_filter,DEPENDENT,BATCH_1,NO
rejected_parameter_perturbations,PARAMETER,YES,missing_filter,DEPENDENT,BATCH_1,NO
canonical_data_source,DATA_SELECTION,YES,input_mismatch,DEPENDENT,BATCH_1,NO
forbidden_input_sources,DATA_SELECTION,YES,input_mismatch,DEPENDENT,BATCH_2,NO
fixed_coordinate_and_normalization,COORDINATE,YES,coordinate_inconsistency,DEPENDENT,BATCH_2,NO
stability_metric_bundle,METRIC,YES,undefined_metric,DEPENDENT,BATCH_3,NO
acceptance_criteria,METRIC,YES,NONE,DEPENDENT,BATCH_3,NO
measurement_robustness_metrics,METRIC,NO,NONE,INDEPENDENT,N/A,NO
execution_entry_precondition,DATA_SELECTION,YES,execution_failure,DEPENDENT,BATCH_1,NO
artifact_contract_precondition,METRIC,YES,execution_failure,DEPENDENT,BATCH_2,NO
blocker::B1_wrapper_exec_target_script,DATA_SELECTION,YES,execution_failure,ROOT_BLOCKER,BATCH_1,YES
blocker::B2_hardcoded_legacy_input,DATA_SELECTION,YES,input_mismatch,ROOT_BLOCKER,BATCH_1,YES
blocker::B3_missing_trust_class_enforcement,DATA_SELECTION,YES,input_mismatch,DEPENDENT,BATCH_2,NO
blocker::B4_missing_boundary_highT_filters,INPUT_FILTER,YES,missing_filter,ROOT_BLOCKER,BATCH_1,YES
blocker::B5_missing_canonical_parameter_filter,PARAMETER,YES,missing_filter,ROOT_BLOCKER,BATCH_1,YES
blocker::B6_variant_scaling_sweep_active,COORDINATE,YES,coordinate_inconsistency,DEPENDENT,BATCH_2,NO
blocker::B7_stage1b_forensic_metric_bundle_missing,METRIC,YES,undefined_metric,DEPENDENT,BATCH_3,NO
blocker::B8_output_contract_status_mismatch,METRIC,YES,execution_failure,DEPENDENT,BATCH_2,NO
