current_name_or_term,path_or_context,semantic_family_id,recommended_alias,safe_replacement,qualification_required,confidence,notes
run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,CANON_GEN_MIXED_PRODUCER,CanonGen_Mixed_Output_Entrypoint,"Producer alias only; outputs map to CANON_GEN_SOURCE | EXPERIMENTAL_PTCDF_DIAGNOSTIC | diagnostic modes per column",YES column registry,HIGH,"Never collapse to single family in Phase 2 registry rows."
S_percent,switching_canonical_S_long.csv,CANON_GEN_SOURCE,Measured_S_CANON_GEN_LAYER,S_percent_column_under_CANON_GEN_SOURCE,YES,HIGH,"Authoritative measured surface column family."
PT_pdf CDF_pt S_model_pt_percent,switching_canonical_S_long.csv,EXPERIMENTAL_PTCDF_DIAGNOSTIC,PTCDF_Rowwise_Diagnostic_Layer,PT_CDF_diagnostic_columns_EXPERIMENTAL,YES,HIGH,"Not corrected-old backbone authority."
switching_canonical_phi1.csv,results ... tables,EXPERIMENTAL mode diagnostic,CanonGen_DiagPhi1_native_I,"DIAGNOSTIC_phi1_from_mixed_producer per REG003",YES,HIGH,"Not switching_corrected_old_authoritative_phi1."
switching_corrected_old_authoritative_phi1.csv,tables,CORRECTED_CANONICAL_OLD_ANALYSIS,Authoritative_CORRECTED_OLD_phi1_file,corrected_old_phi1_authoritative_when_indexed,YES,HIGH,"REG002 lineage."
switching_residual_decomposition_analysis.m,Switching/analysis,OLD_RESIDUAL_DECOMP,Legacy_ThresholdCentered_Decomp,OLD_RESIDUAL_DECOMP_vehicle_function,YES,HIGH,"Distinction from CORRECTED_OLD_AUTH_BUILDER."
run_switching_corrected_old_authoritative_builder.m,Switching/analysis,CORRECTED_OLD_AUTH_BUILDER,Gated_PT_Backbone_Builder,corrected_old_authoritative_builder_script,YES,HIGH,"Gated pipeline entry."
CORRECTED_CANONICAL_OLD_ANALYSIS,governance docs,CORRECTED_CANONICAL_OLD_ANALYSIS,Narrative_Manuscript_Old_Analysis_Package,CORRECTED_CANONICAL_OLD_ANALYSIS_namespace_id,YES,HIGH,"Manuscript pathway when artifacts indexed."
run_phi2_kappa2_canonical_residual_mode.m,Switching/analysis,PHI2_KAPPA2_HYBRID,LegacyResidual_SecondMode_Hybrid,NOT_canonical_governance_phi2_kappa2_run_phi2_script,YES,HIGH,"Filename misleading per Phase 1.5A."
run_switching_phi1_kappa1_experimental_replay.m,Switching/analysis,REPLAY_PHI1_KAPPA1,FrozenSLong_Experimental_PhiKappa_Replay,B03_replay_experimental_on_frozen_S_long,YES,HIGH,"Reads S_model_pt_percent column for backbone."
run_switching_geocanon_descriptor_audit.m,Switching/analysis,GEOCANON_DESCRIPTOR,RidgeGeometry_Descriptor_Audit,geocanon_B12_descriptor_not_residual_backbone,YES,HIGH,"Not CDF backbone physics."
run_switching_canonical_map_backbone_residual_visualization.m,Switching/analysis,CANON_FIGURE_COLUMN_REPLAY,SLong_Column_BackboneResidual_Viz,column_visualization_dual_namespace_caption,YES,HIGH,"canonical plus backbone in filename risk."
run_switching_canonical_ptcdf_collapse_overlay.m,Switching/analysis,CANON_COLLAPSE_PTCDF_OVERLAY_DIAGNOSTIC,CollapseOverlay_PTCDFFigures,collapse_overlay_diagnostic_not_primary_PT_construction,YES,HIGH,"collapse_canon forbidden stem."
run_minimal_canonical.m,Switching/analysis,INFRA_SMOKE_CANONICAL_CONTEXT,RunContext_or_Test_Wrapper_Smoke,INFRA_TEST_createSwitchingRunContext_smoke,YES,HIGH,"Not physics canonical."
analyze_phi_kappa_canonical_space.m,Switching/analysis,governance subset PHI_KAPPA_STABILITY,Canonical_variant_pair_filter_space,"canonical_space means variant pair subset not CANON_GEN umbrella",YES,MEDIUM,"Phase 1.5A separate row."
canonical_residual_decomposition,docs/switching_artifact_policy.md,policy umbrella MULTI,canonical_residual_decomposition_policy_family,"Maps to CANON_GEN diag path OR OLD_RESIDUAL OR PHI2 chain via namespace_clean_map",YES,HIGH,"Do not treat as one operational semantics."
canonical_geometric_decomposition,policy,GEOCANON_DESCRIPTOR cluster,policy_geometric_family_alias,ridge_geometric_decomposition_B12,YES,HIGH,"Separate from residual CDF family."
run_sw_corr_old_replay_auth.m,scripts,CORRECTED_OLD_REPLAY_FROM_CANON_S_INPUT,CenteredCDF_Replay_FromCanonS_Quarantine,QUARANTINED_replay_not_builder_authority,YES,HIGH,"Phase 1.5C."
run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m,scripts,PTCDF_DIAGNOSTIC_QUARANTINE_REPLAY,PTCDF_Inventory_PhiSanity_Scripts,PTCDF_quarantine_inventory_script,YES,HIGH,"Versus CORRECTED_OLD_AUTH_BUILDER."
run_sw_old_inv_phi1_viz.m,scripts,FILENAME_MISMATCH_URGENT,RESOLVE_DUPLICATE_vs_inventory_script,"Likely duplicate body of inventory script per static audit",YES,HIGH,"Mismatch urgent review."
run_switching_old_fig_forensic_and_canonical_replot.m,scripts,OLD_FIG_FORENSIC_REPLAY,LegacyFig_Forensic_And_StyledReplot,forensic_plus_canon_styled_replot_not_producer,YES,HIGH,"Canonical directory naming for outputs."
run_switching_stabilized_gauge_figure_replay.m,scripts,GAUGE_VISUALIZATION_DIAGNOSTIC,Gauge_XEff_Panels_Robustness,stabilized_gauge_figure_replay_REG007_lane,YES,HIGH,"REG007 canonical_replay family."
run_switching_fixed_T_current_cuts_canonical_replay.m,repo root,CANON_S_LONG_VISUAL_REPLAY,PinnedRun_SLong_Visualization_Only,fixed_T_cuts_visual_from_pinned_S_long,YES,HIGH,"canonical replay in name means source CSV replay."
run_switching_cdf_backbone_repair_aggressiveness_audit.m,Switching/diagnostics,CDF_BACKBONE_REPAIR_AGGRESSIVENESS_AUDIT,CDFRepair_Variant_Audit_OldResidualPath,audit_old_residual_cdf_repair_paths,YES,HIGH,"Not PT/CDF manuscript backbone audit."
run_switching_corrected_old_task002_quality_QA_and_closure.m,Switching/diagnostics,CORRECTED_OLD_TASK_QA_DIAGNOSTIC,Task002_QA_Closure_Visual_Only,TASK002A_QA_closure_on_authoritative_tables,YES,HIGH,"Reads authoritative only."
AUTHORITY keys stale NO,tables/switching_analysis_classification_status.csv,CLASSIFICATION_OR_GOVERNANCE_STATUS,Stale_rows_need_SUPERSESSION,"Interpret AUTHORITATIVE_EXIST NO via CURRENT_* supersession rows",YES,HIGH,"Supersession preserves stale audit trail."
CANON_GEN (grep umbrella),informal,CANON_GEN_MIXED_PRODUCER split,CANON_GEN_SOURCE_vs_EXPERIMENTAL_columns,"Never bare CANON_GEN for claims use split ids",YES,HIGH,"Phase 1.5B governance csv row."
canonical backbone,prose,MULTI,multi_family_backbone_language,"namespace_id plus backbone_object formula",YES,HIGH,"Forbidden bare per template."
