finding_id,severity,category,source_file,source_row_or_line,rule_id,semantic_family_id,message,recommended_action,hard_fail_condition,notes
SW_PF_00001,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_2,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_2.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,Authoritative measured switching surface S_percent and cited identity observables from the canonical producer run; column-family semantics not whole-file umbrella. Treat PT_pdf CDF_pt S_model_pt_percent residual_percent or diag phi as CANON_GEN_SOURCE authority Always column-selective; never bare canonical without column class.
SW_PF_00002,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_3,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_3.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,Quasi-CDF PT_pdf CDF_pt S_model_pt_percent and related diagnostic-mode columns from the same producer file; not corrected-old manuscript backbone. Manuscript primary backbone or CORRECTED_CANONICAL_OLD_ANALYSIS backbone substitution Does not relax PT/CDF quarantine vs corrected-old authority.
SW_PF_00003,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_3,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_taxonomy.csv at row_3.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,Quasi-CDF PT_pdf CDF_pt S_model_pt_percent and related diagnostic-mode columns from the same producer file; not corrected-old manuscript backbone. Manuscript primary backbone or CORRECTED_CANONICAL_OLD_ANALYSIS backbone substitution Does not relax PT/CDF quarantine vs corrected-old authority.
SW_PF_00004,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_4,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_4.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,Single MATLAB producer run_switching_canonical.m emitting CANON_GEN_SOURCE plus EXPERIMENTAL_PTCDF_DIAGNOSTIC plus mode-analysis outputs; registry must split by column/object. Refer to run as undifferentiated canonical manuscript bundle or single backbone formula Not one semantic family for outputs; Phase 2 registry rows must be object/column granular.
SW_PF_00005,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_4,SW_LINT_009,,Lint pattern matched (SW_LINT_009) in tables/switching_semantic_taxonomy.csv at row_4.,S_tag EXPERIMENTAL_PTCDF_DIAGNOSTIC never CORRECTED backbone without bridge,,Single MATLAB producer run_switching_canonical.m emitting CANON_GEN_SOURCE plus EXPERIMENTAL_PTCDF_DIAGNOSTIC plus mode-analysis outputs; registry must split by column/object. Refer to run as undifferentiated canonical manuscript bundle or single backbone formula Not one semantic family for outputs; Phase 2 registry rows must be object/column granular.
SW_PF_00006,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_5,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_5.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,Legacy triple-source backbone Speak times cdf row plus deltaS on map; residual SVD on x equals I minus Ipeak over width; switching_residual_decomposition_analysis. Bare canonical Phi/kappa claims; equate output to CORRECTED authoritative CSVs Canonical in prose inside file often means analysis window not governance CANON_GEN.
SW_PF_00007,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_5,SW_LINT_005,,Lint pattern matched (SW_LINT_005) in tables/switching_semantic_taxonomy.csv at row_5.,Cite switching_canonical_phi1.csv vs switching_corrected_old_authoritative_phi1.csv explicitly,,Legacy triple-source backbone Speak times cdf row plus deltaS on map; residual SVD on x equals I minus Ipeak over width; switching_residual_decomposition_analysis. Bare canonical Phi/kappa claims; equate output to CORRECTED authoritative CSVs Canonical in prose inside file often means analysis window not governance CANON_GEN.
SW_PF_00008,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_6,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_6.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,Authoritative corrected-old backbone residual Phi1 kappa1 tables when gates pass; clean CANON_GEN_SOURCE source view plus legacy PT-only matrix. Use before SAFE gates; mix unsplit S_long PT columns into inputs Distinct vehicle from OLD_RESIDUAL_DECOMP template.
SW_PF_00009,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_6,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_taxonomy.csv at row_6.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,Authoritative corrected-old backbone residual Phi1 kappa1 tables when gates pass; clean CANON_GEN_SOURCE source view plus legacy PT-only matrix. Use before SAFE gates; mix unsplit S_long PT columns into inputs Distinct vehicle from OLD_RESIDUAL_DECOMP template.
SW_PF_00010,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_7,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_7.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,Governance namespace for manuscript Phi-kappa-collapse under B09 using CANON_GEN_SOURCE S provenance and gated corrected-old tables—not PT/CDF diagnostic columns. PT/CDF diagnostic as this backbone without EXPERIMENTAL id Supersed stale classification NO rows via CURRENT_* interpretation.
SW_PF_00011,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_7,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_taxonomy.csv at row_7.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,Governance namespace for manuscript Phi-kappa-collapse under B09 using CANON_GEN_SOURCE S provenance and gated corrected-old tables—not PT/CDF diagnostic columns. PT/CDF diagnostic as this backbone without EXPERIMENTAL id Supersed stale classification NO rows via CURRENT_* interpretation.
SW_PF_00012,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_8,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_8.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,Second global SVD on legacy residual map after stage-one OLD_RESIDUAL_DECOMP; filename canonical is misleading. Authoritative phi2 kappa2 manuscript substitution Rename later recommended; header denies corrected-old authority.
SW_PF_00013,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_8,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_8.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,Second global SVD on legacy residual map after stage-one OLD_RESIDUAL_DECOMP; filename canonical is misleading. Authoritative phi2 kappa2 manuscript substitution Rename later recommended; header denies corrected-old authority.
SW_PF_00014,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_8,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_taxonomy.csv at row_8.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,Second global SVD on legacy residual map after stage-one OLD_RESIDUAL_DECOMP; filename canonical is misleading. Authoritative phi2 kappa2 manuscript substitution Rename later recommended; header denies corrected-old authority.
SW_PF_00015,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_9,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_9.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,Replay on frozen switching_canonical_S_long reading aggregated S_model_pt_percent as backbone; B03-style diagnostic. Present as redefining authoritative corrected-old Phi1 Scdf from S_model_pt_percent column inherits EXPERIMENTAL semantics.
SW_PF_00016,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_9,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_taxonomy.csv at row_9.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,Replay on frozen switching_canonical_S_long reading aggregated S_model_pt_percent as backbone; B03-style diagnostic. Present as redefining authoritative corrected-old Phi1 Scdf from S_model_pt_percent column inherits EXPERIMENTAL semantics.
SW_PF_00017,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_11,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_11.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,Figures and manifests from reading a pinned switching_canonical_S_long for cuts maps panels without running mixed producer. Claim new measured S or backbone derivation Canonical in filename means source CSV identity not governance umbrella.
SW_PF_00018,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_12,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_12.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,Extract legacy .fig metadata provenance scan replot X collapse panels using locked P0 and pinned S_long. Treat replot PNG as authoritative corrected-old without builder tables Output paths use canonical naming for style not producer authority.
SW_PF_00019,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_12,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_12.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,Extract legacy .fig metadata provenance scan replot X collapse panels using locked P0 and pinned S_long. Treat replot PNG as authoritative corrected-old without builder tables Output paths use canonical naming for style not producer authority.
SW_PF_00020,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_12,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_taxonomy.csv at row_12.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,Extract legacy .fig metadata provenance scan replot X collapse panels using locked P0 and pinned S_long. Treat replot PNG as authoritative corrected-old without builder tables Output paths use canonical naming for style not producer authority.
