key,value
SWITCHING_SEMANTIC_PHASE3_PREFLIGHT_COMPLETE,YES
READ_ONLY_EXISTING_ARTIFACTS_ENFORCED,YES
MATLAB_NOT_RUN,YES
NO_ANALYSIS_CODE_EDITS,YES
NO_RENAMES_EXECUTED,YES
NO_REPLAY_EXECUTED,YES
NO_FIGURES_CREATED,YES
NO_STAGING_OR_COMMIT,YES
REQUIRED_INPUTS_FOUND,YES
CONTRACT_TABLE_SCHEMAS_CHECKED,YES
LINT_RULES_LOADED,YES
LINT_RULES_APPLIED,YES
MIXED_PRODUCER_COLUMN_LEVEL_CHECK_PERFORMED,YES
CANON_GEN_SOURCE_SPLIT_PRESERVED,YES
EXPERIMENTAL_PTCDF_QUARANTINE_PRESERVED,YES
ALLOWED_USE_MATRIX_CHECK_PERFORMED,YES
WARN_FIRST_POLICY_PRESERVED,YES
HARD_FAIL_RESERVED_FOR_UNSAFE_PROMOTION,YES
HARD_FAIL_COUNT,0
WARN_COUNT,171
SUGGEST_COUNT,0
BROAD_OLD_ANALYSIS_REPLAY_ALLOWED_NOW,NO
RENAME_EXECUTION_ALLOWED_NOW,NO
SAFE_TO_PROCEED_TO_PHASE4_CORRECTED_OLD_REPLAY,NO
SAFE_TO_COMMIT_PHASE3_PREFLIGHT_ARTIFACTS,YES
