key,value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
SWITCHING_SCOPE_ONLY,YES
SCRIPT_EXISTS,YES
SCRIPT_UNTRACKED,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
SCRIPT_EXECUTED,NO
SCRIPT_MODIFIED,NO
STAGED,NO
COMMITTED,NO
PUSHED,NO
PURPOSE_IDENTIFIED,YES
INPUTS_IDENTIFIED,YES
OUTPUTS_IDENTIFIED,YES
CANONICAL_ONLY,NO
CROSS_MODULE_DEPENDENCY_FOUND,YES
ABSOLUTE_PATHS_FOUND,NO
DEBUG_OR_TMP_BEHAVIOR_FOUND,YES
FORBIDDEN_BEHAVIOR_FOUND,NO
DUPLICATE_OF_EXISTING_ARTIFACTS,NO
SAFE_TO_PROMOTE_NOW,NO
REPAIR_REQUIRED,YES
SEPARATE_REVIEW_REQUIRED,YES
