"family","asset_count","script_count","table_count","report_count","run_count","dominant_method_type","representative_path"
"legacy_or_archived","1417","19","1286","105","7","unknown","archive/invalid/reports/aging_alpha_closure_report.md"
"geometry_and_structure_exports","717","19","663","17","18","decomposition","results/aging/runs/run_2026_03_09_014130_MG119_3sec/reports/geometry_visualization/aging_geometry_report.txt"
"aging_clock_and_collapse","580","57","465","18","40","dip_extraction","results/aging/runs/run_2026_03_11_011643_observable_identification_audit/reports/aging_observable_identification_audit.md"
"uncategorized","294","141","83","63","7","unknown","Aging/ARCHITECTURE.md"
"dip_isolation_methods","120","29","74","6","11","dip_extraction","reports/tau_extracted.md"
"decomposition_pipelines","64","25","32","5","2","decomposition","Aging old/docs/switching_model.md"
"slope_based_observables","25","6","14","2","3","slope","reports/relaxation_measurement_focused_t0_norm_window.md"
"contamination_audits","17","0","8","4","4","unknown","archive/invalid/reports/aging_measurement_definition_audit.md"
"background_estimation_methods","14","10","2","2","0","background_model","Aging/ROBUST_BASELINE_IMPLEMENTATION_SUMMARY.md"
"fit_based_approaches","11","5","4","2","0","fitting","reports/kappa1_projection_test.md"
"cross_experiment_fit_closures","7","6","0","0","0","unknown","reports/aging_kappa1_kappa2_collapse.md"
