"path","action","reason"
"C:\Dev\matlab-functions\run_aging_trace_structure_canonical.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\run_aging_trace_structure_canonical_exec.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\run_aging_trace_structure_canonical_wrapper.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\run_aging_trace_structure_canonical_final.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\test_aging_trace_structure_minimal.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\verify_aging_trace_structure_final.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\validate_syntax_final.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\validate_matlab_syntax_direct.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\verify_matlab_environment.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\FINAL_INTEGRATION_TEST.m","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\AGING_STRUCTURE_EXECUTION_HANDOFF.md","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\PRODUCTION_DEPLOYMENT_CHECKLIST.md","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\FINAL_COMPLETION_REPORT.md","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\PRODUCTION_SIGN_OFF_CERTIFICATE.md","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\SESSION_SUMMARY_2026_03_30.md","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\REPOSITORY_STATE_SUMMARY.md","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\MASTER_EXECUTIVE_SUMMARY.md","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\WORK_COMPLETION_AND_HANDOFF.md","MOVED","NON_CANONICAL"
"C:\Dev\matlab-functions\CONVERSATION_SESSION_COMPLETE.txt","MOVED","NON_CANONICAL"
