"loss_type","method","path","evidence"
"code_without_outputs","aging","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_alpha_closure_agent24f","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_clock_ratio_temperature_scaling_wrapper","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_collapse_kappa1_kappa2","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_dip_switching_shape_link","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_execution_diagnostics","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_fm_switching_sector_link","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_geometry_visualization","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_hermetic_closure_agent24i","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_kappa1_prediction_agent24d","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_kappa2_agent24g","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_nonlinear_law_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_observable_mode_correlation","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_prediction_agent24b","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_r_vs_collective_state_agent23a","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_structured_results_export","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_structured_results_export_tp12","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_structured_results_export_tp27","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_structured_results_export_tp30","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_switching_clock_bridge","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_timescale_bridge","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_trace_structure_canonical","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_trace_structure_canonical_exec","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_trace_structure_canonical_final","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_trace_structure_canonical_wrapper","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_trace_structure_minimal","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_tri_clock_consistency_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_tri_cross_temperature_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_tri_scaling_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aging_vs_trajectory_agent23b","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","aligndeltam_y","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_decomposition_agent21a","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_from_pt_agent20b","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_physical_validity_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_res_collective_state_agent22b","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_res_cross_experiment_correlation","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_res_origin_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_res_physics_agent21b","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_res_smoothed_state_agent22e","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_res_trajectory_agent22d","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_res_transition_agent22a","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_structure_agent19f","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","alpha_with_kappa1_agent21c","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","analyze_phi_kappa_canonical_space","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","analyzeafm_fm_components","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","analyzeafm_fm_derivative","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","analyzeagingmemory","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","asymmetric_spread_analysis","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","auditdecompositionstability","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","barrier_relaxation_mechanism_closure","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","barrier_to_relaxation_mechanism","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","build_p0_from_data","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","build_relaxation_dataset","(multiple)","script exists but no table/report output found in inventory"
